context_id,year,state_ut,city,crime_category,crime_count,measure_type,synthetic_flag,data_origin,source_dataset,source_record_reference,confidence,scenario_id
CTX-00001,2023,Maharashtra,Mumbai,theft,17885,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00001,MEDIUM,
CTX-00002,2022,Madhya Pradesh,Indore,cyber-related,5972,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00002,MEDIUM,
CTX-00003,2024,Maharashtra,Nashik,fraud,12988,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00003,MEDIUM,
CTX-00004,2022,Maharashtra,Pune,violent,5993,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00004,MEDIUM,
CTX-00005,2023,Madhya Pradesh,Indore,violent,24223,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00005,MEDIUM,
CTX-00006,2024,Madhya Pradesh,Indore,cyber-related,15438,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00006,MEDIUM,
CTX-00007,2023,Gujarat,Ahmedabad,violent,10167,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00007,MEDIUM,
CTX-00008,2024,Maharashtra,Nagpur,fraud,14598,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00008,MEDIUM,
CTX-00009,2023,Maharashtra,Mumbai,fraud,21063,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00009,MEDIUM,
CTX-00010,2023,Maharashtra,Nagpur,other,7062,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00010,MEDIUM,
CTX-00011,2023,Telangana,Hyderabad,theft,11813,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00011,MEDIUM,
CTX-00012,2024,Maharashtra,Nagpur,property,9964,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00012,MEDIUM,
CTX-00013,2024,Gujarat,Ahmedabad,other,109,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00013,MEDIUM,
CTX-00014,2024,Delhi,Delhi,theft,11695,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00014,MEDIUM,
CTX-00015,2023,West Bengal,Kolkata,theft,16096,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00015,MEDIUM,
CTX-00016,2023,Maharashtra,Nashik,other,918,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00016,MEDIUM,
CTX-00017,2024,Maharashtra,Nagpur,property,11261,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00017,MEDIUM,
CTX-00018,2024,West Bengal,Kolkata,cyber-related,6761,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00018,MEDIUM,
CTX-00019,2022,Maharashtra,Nashik,cyber-related,3318,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00019,MEDIUM,
CTX-00020,2022,Karnataka,Bengaluru,fraud,316,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00020,MEDIUM,
CTX-00021,2023,Delhi,Delhi,property,20430,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00021,MEDIUM,
CTX-00022,2022,Gujarat,Ahmedabad,theft,21008,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00022,MEDIUM,
CTX-00023,2024,Madhya Pradesh,Indore,economic,22294,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00023,MEDIUM,
CTX-00024,2022,Gujarat,Ahmedabad,property,15726,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00024,MEDIUM,
CTX-00025,2022,Maharashtra,Pune,fraud,10640,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00025,MEDIUM,
CTX-00026,2023,Karnataka,Bengaluru,cyber-related,23063,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00026,MEDIUM,
CTX-00027,2024,Madhya Pradesh,Indore,property,12207,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00027,MEDIUM,
CTX-00028,2024,Delhi,Delhi,theft,20224,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00028,MEDIUM,
CTX-00029,2022,Maharashtra,Nashik,cyber-related,21834,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00029,MEDIUM,
CTX-00030,2024,Maharashtra,Pune,violent,7890,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00030,MEDIUM,
CTX-00031,2024,Maharashtra,Nashik,violent,6784,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00031,MEDIUM,
CTX-00032,2022,Karnataka,Bengaluru,theft,18792,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00032,MEDIUM,
CTX-00033,2022,Maharashtra,Nagpur,economic,17605,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00033,MEDIUM,
CTX-00034,2023,Maharashtra,Pune,fraud,3511,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00034,MEDIUM,
CTX-00035,2022,Delhi,Delhi,cyber-related,16443,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00035,MEDIUM,
CTX-00036,2024,Maharashtra,Mumbai,theft,1879,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00036,MEDIUM,
CTX-00037,2024,Telangana,Hyderabad,violent,14315,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00037,MEDIUM,
CTX-00038,2023,Telangana,Hyderabad,economic,1899,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00038,MEDIUM,
CTX-00039,2023,Maharashtra,Nashik,cyber-related,24147,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00039,MEDIUM,
CTX-00040,2024,Maharashtra,Nashik,property,3220,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00040,MEDIUM,
CTX-00041,2022,Delhi,Delhi,violent,1966,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00041,MEDIUM,
CTX-00042,2023,Maharashtra,Pune,other,2441,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00042,MEDIUM,
CTX-00043,2022,Delhi,Delhi,other,2981,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00043,MEDIUM,
CTX-00044,2023,West Bengal,Kolkata,other,15701,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00044,MEDIUM,
CTX-00045,2022,Madhya Pradesh,Indore,violent,24980,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00045,MEDIUM,
CTX-00046,2024,Maharashtra,Pune,theft,21330,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00046,MEDIUM,
CTX-00047,2022,West Bengal,Kolkata,fraud,1704,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00047,MEDIUM,
CTX-00048,2023,Maharashtra,Pune,economic,21001,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00048,MEDIUM,
CTX-00049,2024,Maharashtra,Pune,cyber-related,38,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00049,MEDIUM,
