device_id,device_type,ip_address,device_identifier,first_seen,last_seen,synthetic_flag,data_origin,source_dataset,source_record_reference,confidence,scenario_id
DEV-000373,router,10.0.1.116,SYN-DEVICE-00000373,2024-01-02T05:03:39,2024-08-21T07:00:54,true,SYNTHETIC,,,MEDIUM,
DEV-000531,tablet,10.0.2.18,SYN-DEVICE-00000531,2025-10-05T18:36:42,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-001020,router,10.0.3.251,SYN-DEVICE-00001020,2025-11-29T05:38:09,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-001024,router,10.0.3.255,SYN-DEVICE-00001024,2025-11-06T00:47:59,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-001331,desktop,10.0.5.50,SYN-DEVICE-00001331,2024-07-10T17:32:05,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-001472,phone,10.0.5.191,SYN-DEVICE-00001472,2025-04-15T08:06:45,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-002494,desktop,10.0.9.189,SYN-DEVICE-00002494,2025-06-20T10:27:32,2025-12-21T17:57:43,true,SYNTHETIC,,,MEDIUM,
DEV-002715,desktop,10.0.10.154,SYN-DEVICE-00002715,2024-05-10T16:11:27,2025-01-25T00:35:16,true,SYNTHETIC,,,MEDIUM,
DEV-002788,phone,10.0.10.227,SYN-DEVICE-00002788,2024-04-06T00:23:16,2024-11-10T01:18:55,true,SYNTHETIC,,,MEDIUM,
DEV-002990,laptop,10.0.11.173,SYN-DEVICE-00002990,2024-01-16T13:06:56,2024-07-22T15:11:40,true,SYNTHETIC,,,MEDIUM,
DEV-003215,phone,10.0.12.142,SYN-DEVICE-00003215,2024-03-20T08:17:42,2025-07-23T02:57:53,true,SYNTHETIC,,,MEDIUM,
DEV-004113,router,10.0.16.16,SYN-DEVICE-00004113,2024-04-26T06:07:43,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-004378,router,10.0.17.25,SYN-DEVICE-00004378,2025-12-02T12:56:08,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-004434,laptop,10.0.17.81,SYN-DEVICE-00004434,2025-01-10T07:41:44,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-004442,laptop,10.0.17.89,SYN-DEVICE-00004442,2025-08-08T06:58:02,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-004949,laptop,10.0.19.84,SYN-DEVICE-00004949,2024-07-28T09:35:31,2025-04-20T05:54:19,true,SYNTHETIC,,,MEDIUM,
DEV-005220,laptop,10.0.20.99,SYN-DEVICE-00005220,2024-11-11T15:33:10,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-005504,desktop,10.0.21.127,SYN-DEVICE-00005504,2025-12-30T06:54:39,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-005647,desktop,10.0.22.14,SYN-DEVICE-00005647,2025-02-08T15:08:30,2025-12-12T16:55:14,true,SYNTHETIC,,,MEDIUM,
DEV-005949,phone,10.0.23.60,SYN-DEVICE-00005949,2025-02-27T07:04:38,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-006236,server,10.0.24.91,SYN-DEVICE-00006236,2024-06-29T00:42:06,2024-12-27T05:01:25,true,SYNTHETIC,,,MEDIUM,
DEV-006364,laptop,10.0.24.219,SYN-DEVICE-00006364,2024-05-27T16:59:15,2024-12-12T21:07:13,true,SYNTHETIC,,,MEDIUM,
DEV-006423,desktop,10.0.25.22,SYN-DEVICE-00006423,2025-09-12T13:36:45,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-006541,tablet,10.0.25.140,SYN-DEVICE-00006541,2025-01-07T00:25:53,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-006617,laptop,10.0.25.216,SYN-DEVICE-00006617,2025-04-21T03:51:18,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-007068,router,10.0.27.155,SYN-DEVICE-00007068,2024-03-28T05:24:41,2024-12-09T07:35:00,true,SYNTHETIC,,,MEDIUM,
DEV-007737,desktop,10.0.30.56,SYN-DEVICE-00007737,2025-12-02T11:42:52,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-007960,tablet,10.0.31.23,SYN-DEVICE-00007960,2024-04-23T12:17:35,2024-06-08T19:33:25,true,SYNTHETIC,,,MEDIUM,
DEV-008541,desktop,10.0.33.92,SYN-DEVICE-00008541,2024-09-11T11:05:54,2025-01-27T18:44:44,true,SYNTHETIC,,,MEDIUM,
DEV-008556,phone,10.0.33.107,SYN-DEVICE-00008556,2024-01-29T17:39:28,2025-03-11T18:01:34,true,SYNTHETIC,,,MEDIUM,
DEV-008849,server,10.0.34.144,SYN-DEVICE-00008849,2025-02-04T23:33:26,2025-05-27T21:03:10,true,SYNTHETIC,,,MEDIUM,
DEV-009430,desktop,10.0.36.213,SYN-DEVICE-00009430,2025-05-09T02:52:50,2025-09-12T11:11:32,true,SYNTHETIC,,,MEDIUM,
DEV-009759,phone,10.0.38.30,SYN-DEVICE-00009759,2025-07-28T11:25:12,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-009795,desktop,10.0.38.66,SYN-DEVICE-00009795,2025-01-16T23:11:24,2025-02-27T11:54:49,true,SYNTHETIC,,,MEDIUM,
DEV-009931,server,10.0.38.202,SYN-DEVICE-00009931,2024-04-27T20:50:46,2024-12-28T20:25:14,true,SYNTHETIC,,,MEDIUM,
DEV-009934,router,10.0.38.205,SYN-DEVICE-00009934,2024-01-18T07:47:02,2025-01-21T11:25:37,true,SYNTHETIC,,,MEDIUM,
DEV-010911,tablet,10.0.42.158,SYN-DEVICE-00010911,2024-09-15T14:06:13,2025-02-06T05:14:43,true,SYNTHETIC,,,MEDIUM,
DEV-010937,server,10.0.42.184,SYN-DEVICE-00010937,2025-07-06T22:37:05,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-012099,desktop,10.0.47.66,SYN-DEVICE-00012099,2025-12-21T21:46:26,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-012847,router,10.0.50.46,SYN-DEVICE-00012847,2025-04-20T18:40:49,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-013795,server,10.0.53.226,SYN-DEVICE-00013795,2024-04-03T16:14:05,2025-09-29T22:52:36,true,SYNTHETIC,,,MEDIUM,
DEV-014099,desktop,10.0.55.18,SYN-DEVICE-00014099,2025-04-10T18:59:21,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-014118,phone,10.0.55.37,SYN-DEVICE-00014118,2025-12-23T10:01:28,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-014174,router,10.0.55.93,SYN-DEVICE-00014174,2024-04-14T18:17:04,2024-11-06T04:15:29,true,SYNTHETIC,,,MEDIUM,
DEV-014427,laptop,10.0.56.90,SYN-DEVICE-00014427,2024-01-06T06:33:29,2024-07-11T02:30:49,true,SYNTHETIC,,,MEDIUM,
DEV-015295,laptop,10.0.59.190,SYN-DEVICE-00015295,2024-11-05T22:02:58,2025-10-03T05:13:07,true,SYNTHETIC,,,MEDIUM,
DEV-015716,laptop,10.0.61.99,SYN-DEVICE-00015716,2024-06-14T21:31:40,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-016220,phone,10.0.63.91,SYN-DEVICE-00016220,2024-09-10T20:50:17,2025-04-11T09:05:28,true,SYNTHETIC,,,MEDIUM,
DEV-016650,server,10.0.65.9,SYN-DEVICE-00016650,2025-11-29T11:23:38,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-017243,laptop,10.0.67.90,SYN-DEVICE-00017243,2024-06-13T16:31:52,2025-09-30T04:41:47,true,SYNTHETIC,,,MEDIUM,
DEV-017260,server,10.0.67.107,SYN-DEVICE-00017260,2025-01-23T16:44:47,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-017277,router,10.0.67.124,SYN-DEVICE-00017277,2025-08-16T21:23:02,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-017935,phone,10.0.70.14,SYN-DEVICE-00017935,2025-04-23T02:49:49,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-018408,tablet,10.0.71.231,SYN-DEVICE-00018408,2024-03-07T04:33:20,2025-12-14T06:29:53,true,SYNTHETIC,,,MEDIUM,
DEV-019273,server,10.0.75.72,SYN-DEVICE-00019273,2025-08-11T01:36:35,2025-09-16T06:51:37,true,SYNTHETIC,,,MEDIUM,
DEV-019294,tablet,10.0.75.93,SYN-DEVICE-00019294,2025-02-10T13:53:25,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-019309,tablet,10.0.75.108,SYN-DEVICE-00019309,2025-11-05T08:07:22,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-019798,phone,10.0.77.85,SYN-DEVICE-00019798,2024-05-24T17:19:06,2024-09-20T09:10:05,true,SYNTHETIC,,,MEDIUM,
DEV-019902,router,10.0.77.189,SYN-DEVICE-00019902,2025-05-18T02:53:42,2025-09-16T10:51:49,true,SYNTHETIC,,,MEDIUM,
DEV-020312,laptop,10.0.79.87,SYN-DEVICE-00020312,2025-04-19T10:53:58,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-020375,tablet,10.0.79.150,SYN-DEVICE-00020375,2024-06-06T07:16:32,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-020518,router,10.0.80.37,SYN-DEVICE-00020518,2025-10-03T08:03:26,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-021068,server,10.0.82.75,SYN-DEVICE-00021068,2025-11-20T04:38:46,2025-12-05T15:28:27,true,SYNTHETIC,,,MEDIUM,
DEV-021115,server,10.0.82.122,SYN-DEVICE-00021115,2025-06-16T16:41:23,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-021119,laptop,10.0.82.126,SYN-DEVICE-00021119,2024-07-02T12:26:46,2024-07-19T03:59:53,true,SYNTHETIC,,,MEDIUM,
DEV-021143,phone,10.0.82.150,SYN-DEVICE-00021143,2024-06-06T17:05:51,2024-07-07T03:57:06,true,SYNTHETIC,,,MEDIUM,
DEV-021890,tablet,10.0.85.129,SYN-DEVICE-00021890,2024-08-13T15:41:08,2025-11-15T17:23:36,true,SYNTHETIC,,,MEDIUM,
DEV-022760,desktop,10.0.88.231,SYN-DEVICE-00022760,2025-03-14T13:01:45,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-023209,router,10.0.90.168,SYN-DEVICE-00023209,2024-11-12T18:55:36,2025-04-02T11:23:58,true,SYNTHETIC,,,MEDIUM,
DEV-023618,phone,10.0.92.65,SYN-DEVICE-00023618,2025-03-31T15:44:36,2025-07-22T17:33:22,true,SYNTHETIC,,,MEDIUM,
DEV-024221,tablet,10.0.94.156,SYN-DEVICE-00024221,2025-09-03T01:51:58,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-024370,laptop,10.0.95.49,SYN-DEVICE-00024370,2025-10-27T04:46:00,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-025051,server,10.0.97.218,SYN-DEVICE-00025051,2024-02-23T23:06:48,2025-01-03T03:45:30,true,SYNTHETIC,,,MEDIUM,
DEV-025053,server,10.0.97.220,SYN-DEVICE-00025053,2024-08-08T10:18:26,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-025780,server,10.0.100.179,SYN-DEVICE-00025780,2025-01-08T00:36:15,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-025839,laptop,10.0.100.238,SYN-DEVICE-00025839,2025-09-03T14:20:40,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-025971,desktop,10.0.101.114,SYN-DEVICE-00025971,2025-01-29T00:48:41,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
