document_id,document_type,title,created_at,case_id,description,content_reference,synthetic_flag,data_origin,source_dataset,source_record_reference,confidence,scenario_id
DOC-00138,transaction_summary,Synthetic evidence document 00138,2024-03-27T13:52:12,CASE-00138,Synthetic evidence document; not an authentic government record.,synthetic://document/DOC-00138,true,SYNTHETIC,,,MEDIUM,SCN-CYBER-0138
DOC-00183,transaction_summary,Synthetic evidence document 00183,2024-04-07T03:36:25,CASE-00183,Synthetic evidence document; not an authentic government record.,synthetic://document/DOC-00183,true,SYNTHETIC,,,MEDIUM,SCN-CYBER-0183
DOC-00348,activity_summary,Synthetic evidence document 00348,2025-12-14T20:28:20,CASE-00348,Synthetic evidence document; not an authentic government record.,synthetic://document/DOC-00348,true,SYNTHETIC,,,MEDIUM,SCN-CYBER-0348
DOC-00393,transaction_summary,Synthetic evidence document 00393,2025-05-02T01:23:25,CASE-00393,Synthetic evidence document; not an authentic government record.,synthetic://document/DOC-00393,true,SYNTHETIC,,,MEDIUM,SCN-CYBER-0393
DOC-00528,activity_summary,Synthetic evidence document 00528,2025-09-28T23:53:07,CASE-00528,Synthetic evidence document; not an authentic government record.,synthetic://document/DOC-00528,true,SYNTHETIC,,,MEDIUM,SCN-CYBER-0528
DOC-00563,transaction_summary,Synthetic evidence document 00563,2024-07-08T21:32:38,CASE-00563,Synthetic evidence document; not an authentic government record.,synthetic://document/DOC-00563,true,SYNTHETIC,,,MEDIUM,SCN-CYBER-0563
DOC-00958,activity_summary,Synthetic evidence document 00958,2024-01-23T11:55:55,CASE-00958,Synthetic evidence document; not an authentic government record.,synthetic://document/DOC-00958,true,SYNTHETIC,,,MEDIUM,SCN-CYBER-0958
DOC-01058,incident_report,Synthetic evidence document 01058,2024-08-12T05:24:03,CASE-01058,Synthetic evidence document; not an authentic government record.,synthetic://document/DOC-01058,true,SYNTHETIC,,,MEDIUM,SCN-CYBER-1058
DOC-01083,communication_summary,Synthetic evidence document 01083,2025-07-20T01:04:26,CASE-01083,Synthetic evidence document; not an authentic government record.,synthetic://document/DOC-01083,true,SYNTHETIC,,,MEDIUM,SCN-CYBER-1083
DOC-01123,incident_report,Synthetic evidence document 01123,2025-12-03T08:14:38,CASE-01123,Synthetic evidence document; not an authentic government record.,synthetic://document/DOC-01123,true,SYNTHETIC,,,MEDIUM,SCN-CYBER-1123
DOC-01208,transaction_summary,Synthetic evidence document 01208,2025-03-31T03:12:45,CASE-01208,Synthetic evidence document; not an authentic government record.,synthetic://document/DOC-01208,true,SYNTHETIC,,,MEDIUM,SCN-CYBER-1208
DOC-01268,communication_summary,Synthetic evidence document 01268,2025-11-27T19:43:34,CASE-01268,Synthetic evidence document; not an authentic government record.,synthetic://document/DOC-01268,true,SYNTHETIC,,,MEDIUM,SCN-CYBER-1268
DOC-01333,activity_summary,Synthetic evidence document 01333,2025-02-28T07:53:49,CASE-01333,Synthetic evidence document; not an authentic government record.,synthetic://document/DOC-01333,true,SYNTHETIC,,,MEDIUM,SCN-CYBER-1333
DOC-01518,incident_report,Synthetic evidence document 01518,2025-02-15T22:11:46,CASE-01518,Synthetic evidence document; not an authentic government record.,synthetic://document/DOC-01518,true,SYNTHETIC,,,MEDIUM,SCN-CYBER-1518
DOC-01583,communication_summary,Synthetic evidence document 01583,2025-12-18T06:13:57,CASE-01583,Synthetic evidence document; not an authentic government record.,synthetic://document/DOC-01583,true,SYNTHETIC,,,MEDIUM,SCN-CYBER-1583
DOC-01590,communication_summary,Synthetic evidence document 01590,2025-04-08T13:13:06,CASE-01590,Synthetic evidence document; not an authentic government record.,synthetic://document/DOC-01590,true,SYNTHETIC,,,MEDIUM,SCN-MIXED-1590
DOC-01593,activity_summary,Synthetic evidence document 01593,2024-02-03T14:55:57,CASE-01593,Synthetic evidence document; not an authentic government record.,synthetic://document/DOC-01593,true,SYNTHETIC,,,MEDIUM,SCN-CYBER-1593
DOC-01663,communication_summary,Synthetic evidence document 01663,2025-11-23T19:42:08,CASE-01663,Synthetic evidence document; not an authentic government record.,synthetic://document/DOC-01663,true,SYNTHETIC,,,MEDIUM,SCN-CYBER-1663
DOC-01743,intelligence_note,Synthetic evidence document 01743,2024-06-27T13:43:00,CASE-01743,Synthetic evidence document; not an authentic government record.,synthetic://document/DOC-01743,true,SYNTHETIC,,,MEDIUM,SCN-CYBER-1743
DOC-01993,activity_summary,Synthetic evidence document 01993,2025-06-26T03:01:58,CASE-01993,Synthetic evidence document; not an authentic government record.,synthetic://document/DOC-01993,true,SYNTHETIC,,,MEDIUM,SCN-CYBER-1993
