incident_id,incident_type,timestamp,location_id,description,synthetic_flag,data_origin,source_dataset,source_record_reference,confidence,scenario_id
INC-00139,anomaly,2024-07-15T04:30:17,LOC-005641,Synthetic incident record.,true,SYNTHETIC,,,MEDIUM,
INC-00184,observation,2025-09-11T05:28:35,LOC-009905,Synthetic incident record.,true,SYNTHETIC,,,MEDIUM,
INC-00349,report,2024-04-20T04:34:53,LOC-004152,Synthetic incident record.,true,SYNTHETIC,,,MEDIUM,
INC-00394,activity,2024-05-17T06:53:32,LOC-006428,Synthetic incident record.,true,SYNTHETIC,,,MEDIUM,
INC-00529,activity,2024-12-26T08:52:30,LOC-007901,Synthetic incident record.,true,SYNTHETIC,,,MEDIUM,
INC-00564,access,2025-05-02T00:32:05,LOC-003172,Synthetic incident record.,true,SYNTHETIC,,,MEDIUM,
INC-00959,access,2025-08-17T02:24:48,LOC-005087,Synthetic incident record.,true,SYNTHETIC,,,MEDIUM,
INC-01059,anomaly,2024-03-09T13:43:53,LOC-005325,Synthetic incident record.,true,SYNTHETIC,,,MEDIUM,
INC-01084,loss,2025-05-27T04:11:55,LOC-004117,Synthetic incident record.,true,SYNTHETIC,,,MEDIUM,
INC-01124,report,2024-11-29T11:22:10,LOC-008014,Synthetic incident record.,true,SYNTHETIC,,,MEDIUM,
INC-01209,access,2024-11-14T13:42:20,LOC-007125,Synthetic incident record.,true,SYNTHETIC,,,MEDIUM,
INC-01269,anomaly,2024-01-31T15:03:39,LOC-002306,Synthetic incident record.,true,SYNTHETIC,,,MEDIUM,
INC-01334,access,2025-08-06T22:36:15,LOC-002283,Synthetic incident record.,true,SYNTHETIC,,,MEDIUM,
INC-01519,report,2025-08-10T08:36:14,LOC-000136,Synthetic incident record.,true,SYNTHETIC,,,MEDIUM,
INC-01584,report,2025-05-09T00:53:45,LOC-007002,Synthetic incident record.,true,SYNTHETIC,,,MEDIUM,
INC-01591,activity,2025-07-09T07:11:48,LOC-006978,Synthetic incident record.,true,SYNTHETIC,,,MEDIUM,
INC-01594,access,2025-08-09T22:12:15,LOC-009304,Synthetic incident record.,true,SYNTHETIC,,,MEDIUM,
INC-01664,access,2024-12-02T22:32:46,LOC-008674,Synthetic incident record.,true,SYNTHETIC,,,MEDIUM,
INC-01744,activity,2025-12-19T22:46:19,LOC-003253,Synthetic incident record.,true,SYNTHETIC,,,MEDIUM,
INC-01994,loss,2025-08-02T16:24:32,LOC-003680,Synthetic incident record.,true,SYNTHETIC,,,MEDIUM,
