organization_id,name,organization_type,location_id,synthetic_flag,data_origin,source_dataset,source_record_reference,confidence,scenario_id
ORG-00004,Synthetic Organization 00004,logistics,LOC-002227,true,SYNTHETIC,,,MEDIUM,
ORG-00176,Synthetic Organization 00176,technology,LOC-002302,true,SYNTHETIC,,,MEDIUM,
ORG-00237,Synthetic Organization 00237,transport,LOC-006227,true,SYNTHETIC,,,MEDIUM,
ORG-00435,Synthetic Organization 00435,consulting,LOC-008342,true,SYNTHETIC,,,MEDIUM,
ORG-00500,Synthetic Organization 00500,company,LOC-006137,true,SYNTHETIC,,,MEDIUM,
ORG-00629,Synthetic Organization 00629,synthetic_group,LOC-007920,true,SYNTHETIC,,,MEDIUM,
ORG-00704,Synthetic Organization 00704,technology,LOC-006084,true,SYNTHETIC,,,MEDIUM,
ORG-00773,Synthetic Organization 00773,nonprofit,LOC-004083,true,SYNTHETIC,,,MEDIUM,
ORG-00912,Synthetic Organization 00912,nonprofit,LOC-001721,true,SYNTHETIC,,,MEDIUM,
ORG-00975,Synthetic Organization 00975,institution,LOC-000940,true,SYNTHETIC,,,MEDIUM,
ORG-01060,Synthetic Organization 01060,retail,LOC-007401,true,SYNTHETIC,,,MEDIUM,
ORG-01111,Synthetic Organization 01111,consulting,LOC-008213,true,SYNTHETIC,,,MEDIUM,
ORG-01122,Synthetic Organization 01122,nonprofit,LOC-005693,true,SYNTHETIC,,,MEDIUM,
ORG-01585,Synthetic Organization 01585,consulting,LOC-006667,true,SYNTHETIC,,,MEDIUM,
ORG-01590,Synthetic Organization 01590,institution,LOC-009937,true,SYNTHETIC,,,MEDIUM,
ORG-01640,Synthetic Organization 01640,transport,LOC-000730,true,SYNTHETIC,,,MEDIUM,
ORG-01646,Synthetic Organization 01646,retail,LOC-002086,true,SYNTHETIC,,,MEDIUM,
ORG-01672,Synthetic Organization 01672,institution,LOC-004029,true,SYNTHETIC,,,MEDIUM,
ORG-01798,Synthetic Organization 01798,consulting,LOC-006878,true,SYNTHETIC,,,MEDIUM,
ORG-01887,Synthetic Organization 01887,nonprofit,LOC-008702,true,SYNTHETIC,,,MEDIUM,
ORG-01940,Synthetic Organization 01940,transport,LOC-002184,true,SYNTHETIC,,,MEDIUM,
ORG-02179,Synthetic Organization 02179,transport,LOC-009568,true,SYNTHETIC,,,MEDIUM,
ORG-02308,Synthetic Organization 02308,logistics,LOC-007109,true,SYNTHETIC,,,MEDIUM,
ORG-02552,Synthetic Organization 02552,retail,LOC-007364,true,SYNTHETIC,,,MEDIUM,
ORG-02684,Synthetic Organization 02684,retail,LOC-004022,true,SYNTHETIC,,,MEDIUM,
ORG-02726,Synthetic Organization 02726,company,LOC-004343,true,SYNTHETIC,,,MEDIUM,
ORG-02931,Synthetic Organization 02931,synthetic_group,LOC-007660,true,SYNTHETIC,,,MEDIUM,
ORG-03081,Synthetic Organization 03081,institution,LOC-001296,true,SYNTHETIC,,,MEDIUM,
ORG-03196,Synthetic Organization 03196,nonprofit,LOC-001703,true,SYNTHETIC,,,MEDIUM,
ORG-03226,Synthetic Organization 03226,synthetic_group,LOC-001928,true,SYNTHETIC,,,MEDIUM,
ORG-03340,Synthetic Organization 03340,company,LOC-000802,true,SYNTHETIC,,,MEDIUM,
ORG-03548,Synthetic Organization 03548,company,LOC-004427,true,SYNTHETIC,,,MEDIUM,
ORG-04039,Synthetic Organization 04039,institution,LOC-009462,true,SYNTHETIC,,,MEDIUM,
ORG-04439,Synthetic Organization 04439,logistics,LOC-007505,true,SYNTHETIC,,,MEDIUM,
ORG-04651,Synthetic Organization 04651,logistics,LOC-003460,true,SYNTHETIC,,,MEDIUM,
ORG-04671,Synthetic Organization 04671,consulting,LOC-006449,true,SYNTHETIC,,,MEDIUM,
ORG-04816,Synthetic Organization 04816,retail,LOC-007203,true,SYNTHETIC,,,MEDIUM,
ORG-04916,Synthetic Organization 04916,technology,LOC-002929,true,SYNTHETIC,,,MEDIUM,
ORG-04936,Synthetic Organization 04936,retail,LOC-000497,true,SYNTHETIC,,,MEDIUM,
ORG-04951,Synthetic Organization 04951,retail,LOC-007215,true,SYNTHETIC,,,MEDIUM,
