physical_event_id,timestamp,person_id,event_type,location_id,source_identifier,synthetic_flag,data_origin,source_dataset,source_record_reference,confidence,scenario_id
PHY-00000035,2024-02-04T00:44:10,PER-002304,prox-in-classified,LOC-003069,SYN-ACCESS-00000035,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0139
PHY-00000047,2025-08-17T01:23:02,PER-003233,prox-in-building,LOC-001301,SYN-ACCESS-00000047,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0184
PHY-00000088,2024-04-03T00:38:37,PER-006443,prox-in-classified,LOC-004989,SYN-ACCESS-00000088,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0349
PHY-00000099,2024-09-21T07:05:22,PER-007236,prox-out-classified,LOC-001855,SYN-ACCESS-00000099,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0394
PHY-00000133,2025-01-27T05:05:38,PER-009628,prox-in-building,LOC-009679,SYN-ACCESS-00000133,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0529
PHY-00000142,2024-02-28T20:39:12,PER-010131,prox-out-classified,LOC-008679,SYN-ACCESS-00000142,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0564
PHY-00000240,2025-06-27T23:35:04,PER-017223,prox-out-classified,LOC-005692,SYN-ACCESS-00000240,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0959
PHY-00000265,2025-08-30T18:32:02,PER-018950,prox-in-classified,LOC-002481,SYN-ACCESS-00000265,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1059
PHY-00000272,2025-07-26T13:11:09,PER-019374,prox-out-classified,LOC-007336,SYN-ACCESS-00000272,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1084
PHY-00000282,2024-03-24T15:43:18,PER-020096,prox-in-classified,LOC-007371,SYN-ACCESS-00000282,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1124
PHY-00000303,2025-12-15T06:54:48,PER-021845,prox-out-classified,LOC-006029,SYN-ACCESS-00000303,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1209
