relationship_id,source_entity_type,source_entity_id,relationship_type,target_entity_type,target_entity_id,timestamp,confidence,relationship_origin,source_dataset,source_record_reference,synthetic_flag,reason,scenario_id
REL-0000220,Person,PER-007236,OWNS,Account,ACC-000135,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0000221,Person,PER-007236,OWNS,Account,ACC-018595,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0000479,Person,PER-029320,OWNS,Account,ACC-000324,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0000634,Person,PER-023945,OWNS,Account,ACC-000433,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0000635,Person,PER-023945,OWNS,Account,ACC-018585,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0000792,Person,PER-017976,OWNS,Account,ACC-000543,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0000847,Person,PER-002269,OWNS,Account,ACC-007214,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0001731,Person,PER-027179,OWNS,Account,ACC-001157,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0002434,Person,PER-006463,OWNS,Account,ACC-001640,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0002605,Person,PER-019374,OWNS,Account,ACC-001760,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0002606,Person,PER-019374,OWNS,Account,ACC-008764,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0002607,Person,PER-019374,OWNS,Account,ACC-017195,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0002966,Person,PER-028121,OWNS,Account,ACC-023572,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0003528,Person,PER-018958,OWNS,Account,ACC-002421,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0003529,Person,PER-018958,OWNS,Account,ACC-029454,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0003904,Person,PER-046863,OWNS,Account,ACC-002699,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0003944,Person,PER-033964,OWNS,Account,ACC-002729,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0004112,Person,PER-040352,OWNS,Account,ACC-002848,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0004421,Person,PER-022852,OWNS,Account,ACC-003069,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0004422,Person,PER-022852,OWNS,Account,ACC-017782,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0004506,Person,PER-009628,OWNS,Account,ACC-003139,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0004507,Person,PER-009628,OWNS,Account,ACC-016012,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0004508,Person,PER-009628,OWNS,Account,ACC-019098,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0004720,Person,PER-021845,OWNS,Account,ACC-003291,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0004721,Person,PER-021845,OWNS,Account,ACC-006224,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0005362,Person,PER-049960,OWNS,Account,ACC-029901,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0005789,Person,PER-000626,OWNS,Account,ACC-004080,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0007043,Person,PER-028203,OWNS,Account,ACC-005025,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0007165,Person,PER-049391,OWNS,Account,ACC-005115,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0008012,Person,PER-011658,OWNS,Account,ACC-006436,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0008592,Person,PER-010137,OWNS,Account,ACC-006207,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0008593,Person,PER-010137,OWNS,Account,ACC-017567,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0008791,Person,PER-003233,OWNS,Account,ACC-006363,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0008792,Person,PER-003233,OWNS,Account,ACC-022166,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0009012,Person,PER-021219,OWNS,Account,ACC-006766,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0009109,Person,PER-035454,OWNS,Account,ACC-006622,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0009131,Person,PER-020106,OWNS,Account,ACC-006642,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0009132,Person,PER-020106,OWNS,Account,ACC-010464,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0009193,Person,PER-027613,OWNS,Account,ACC-016837,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0009392,Person,PER-016433,OWNS,Account,ACC-022857,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0009542,Person,PER-017239,OWNS,Account,ACC-006960,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0009543,Person,PER-017239,OWNS,Account,ACC-023954,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0010084,Person,PER-022857,OWNS,Account,ACC-007398,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0010355,Person,PER-035465,OWNS,Account,ACC-007625,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0010356,Person,PER-035465,OWNS,Account,ACC-011882,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0010357,Person,PER-035465,OWNS,Account,ACC-029222,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0010438,Person,PER-019375,OWNS,Account,ACC-007700,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0010445,Person,PER-017602,OWNS,Account,ACC-007708,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0010573,Person,PER-023957,OWNS,Account,ACC-007800,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0011333,Person,PER-028498,OWNS,Account,ACC-008434,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0011334,Person,PER-028498,OWNS,Account,ACC-010183,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0011335,Person,PER-028498,OWNS,Account,ACC-011213,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0011382,Person,PER-016984,OWNS,Account,ACC-024159,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0011486,Person,PER-002304,OWNS,Account,ACC-008563,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0011804,Person,PER-002220,OWNS,Account,ACC-008869,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0012354,Person,PER-031219,OWNS,Account,ACC-009322,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0012707,Person,PER-006443,OWNS,Account,ACC-009626,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0012708,Person,PER-006443,OWNS,Account,ACC-029730,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0013028,Person,PER-006784,OWNS,Account,ACC-009931,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0013075,Person,PER-020096,OWNS,Account,ACC-009968,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0013076,Person,PER-020096,OWNS,Account,ACC-011029,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0013077,Person,PER-020096,OWNS,Account,ACC-016312,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0014781,Person,PER-029805,OWNS,Account,ACC-028994,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0014864,Person,PER-028494,OWNS,Account,ACC-011578,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0014865,Person,PER-028494,OWNS,Account,ACC-024231,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0015361,Person,PER-035773,OWNS,Account,ACC-012058,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0016204,Person,PER-009626,OWNS,Account,ACC-012907,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0016224,Person,PER-009651,OWNS,Account,ACC-012932,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0016225,Person,PER-009651,OWNS,Account,ACC-017333,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0016995,Person,PER-028447,OWNS,Account,ACC-013737,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0017164,Person,PER-012181,OWNS,Account,ACC-013901,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0017176,Person,PER-044506,OWNS,Account,ACC-013910,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0017813,Person,PER-017637,OWNS,Account,ACC-014637,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0017949,Person,PER-029381,OWNS,Account,ACC-014788,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0018531,Person,PER-028283,OWNS,Account,ACC-015410,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0018532,Person,PER-028283,OWNS,Account,ACC-020137,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0019066,Person,PER-020100,OWNS,Account,ACC-015999,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0019291,Person,PER-031212,OWNS,Account,ACC-016259,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0019598,Person,PER-048279,OWNS,Account,ACC-016562,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0019774,Person,PER-018950,OWNS,Account,ACC-016783,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0019775,Person,PER-018950,OWNS,Account,ACC-026629,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0020322,Person,PER-010131,OWNS,Account,ACC-017424,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0020323,Person,PER-010131,OWNS,Account,ACC-020250,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0020413,Person,PER-028450,OWNS,Account,ACC-017525,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0020453,Person,PER-000366,OWNS,Account,ACC-017572,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0021469,Person,PER-000886,OWNS,Account,ACC-018803,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0022080,Person,PER-002324,OWNS,Account,ACC-019601,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0022249,Person,PER-027301,OWNS,Account,ACC-019814,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0022743,Person,PER-033330,OWNS,Account,ACC-020475,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0022829,Person,PER-028278,OWNS,Account,ACC-020589,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0022910,Person,PER-011641,OWNS,Account,ACC-027076,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0023141,Person,PER-029525,OWNS,Account,ACC-020994,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0023664,Person,PER-025339,OWNS,Account,ACC-021696,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0024220,Person,PER-027182,OWNS,Account,ACC-022463,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0024775,Person,PER-007245,OWNS,Account,ACC-023236,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0024776,Person,PER-007245,OWNS,Account,ACC-029579,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0025092,Person,PER-020854,OWNS,Account,ACC-023707,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0026015,Person,PER-017223,OWNS,Account,ACC-025077,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0026598,Person,PER-020235,OWNS,Account,ACC-026024,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
