transaction_id,timestamp,sender_account_id,receiver_account_id,amount,currency,transaction_type,status,anomaly_flag,anomaly_score,ml_pattern_metadata,synthetic_flag,data_origin,source_dataset,source_record_reference,confidence,scenario_id
TXN-00000399,2025-10-20T10:02:01,ACC-013737,ACC-017525,1462.83,INR,deposit,completed,true,0.911703,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",true,SYNTHETIC,,,MEDIUM,SCN-FIN-1591
TXN-00000899,2025-06-24T17:12:21,ACC-013737,ACC-017525,3295.74,INR,payment,pending,true,0.908337,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",true,SYNTHETIC,,,MEDIUM,SCN-FIN-1591
TXN-00001399,2025-04-23T08:27:55,ACC-013737,ACC-017525,732.1,INR,payment,completed,true,0.920014,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",true,SYNTHETIC,,,MEDIUM,SCN-FIN-1591
TXN-00001899,2025-02-04T15:33:59,ACC-013737,ACC-017525,1584.07,INR,transfer,pending,true,0.93121,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",true,SYNTHETIC,,,MEDIUM,SCN-FIN-1591
TXN-00002399,2024-04-27T11:07:56,ACC-013737,ACC-017525,4110.84,INR,transfer,completed,false,0.813961,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",true,SYNTHETIC,,,MEDIUM,SCN-FIN-1591
TXN-00002899,2024-07-21T21:16:34,ACC-013737,ACC-017525,572.88,INR,deposit,completed,false,0.809583,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",true,SYNTHETIC,,,MEDIUM,SCN-FIN-1591
TXN-00003399,2024-05-14T23:45:36,ACC-013737,ACC-017525,796.36,INR,transfer,pending,true,0.950725,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",true,SYNTHETIC,,,MEDIUM,SCN-FIN-1591
TXN-00003899,2025-11-04T17:21:35,ACC-013737,ACC-017525,466.54,INR,deposit,completed,true,0.895905,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",true,SYNTHETIC,,,MEDIUM,SCN-FIN-1591
TXN-00004399,2025-05-02T20:53:21,ACC-013737,ACC-017525,800.68,INR,deposit,completed,true,0.965373,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",true,SYNTHETIC,,,MEDIUM,SCN-FIN-1591
TXN-00004899,2024-04-09T21:11:31,ACC-013737,ACC-017525,1905.72,INR,transfer,pending,true,0.930333,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",true,SYNTHETIC,,,MEDIUM,SCN-FIN-1591
