vehicle_id,vehicle_type,registration_number,make_model,synthetic_flag,data_origin,source_dataset,source_record_reference,confidence,scenario_id
VEH-000295,motorcycle,SYN-0000295,Model-B,true,SYNTHETIC,,,MEDIUM,
VEH-000311,car,SYN-0000311,Model-D,true,SYNTHETIC,,,MEDIUM,
VEH-000456,car,SYN-0000456,Model-C,true,SYNTHETIC,,,MEDIUM,
VEH-000697,bus,SYN-0000697,Model-B,true,SYNTHETIC,,,MEDIUM,
VEH-000761,motorcycle,SYN-0000761,Model-C,true,SYNTHETIC,,,MEDIUM,
VEH-000921,truck,SYN-0000921,Model-C,true,SYNTHETIC,,,MEDIUM,
VEH-000944,van,SYN-0000944,Model-D,true,SYNTHETIC,,,MEDIUM,
VEH-001212,bus,SYN-0001212,Model-D,true,SYNTHETIC,,,MEDIUM,
VEH-001219,van,SYN-0001219,Model-D,true,SYNTHETIC,,,MEDIUM,
VEH-001350,truck,SYN-0001350,Model-A,true,SYNTHETIC,,,MEDIUM,
VEH-001430,van,SYN-0001430,Model-B,true,SYNTHETIC,,,MEDIUM,
VEH-001604,bus,SYN-0001604,Model-C,true,SYNTHETIC,,,MEDIUM,
VEH-001720,bus,SYN-0001720,Model-B,true,SYNTHETIC,,,MEDIUM,
VEH-002223,bus,SYN-0002223,Model-C,true,SYNTHETIC,,,MEDIUM,
VEH-002239,truck,SYN-0002239,Model-A,true,SYNTHETIC,,,MEDIUM,
VEH-002304,bus,SYN-0002304,Model-B,true,SYNTHETIC,,,MEDIUM,
VEH-002324,van,SYN-0002324,Model-A,true,SYNTHETIC,,,MEDIUM,
VEH-002486,truck,SYN-0002486,Model-C,true,SYNTHETIC,,,MEDIUM,
VEH-003233,truck,SYN-0003233,Model-A,true,SYNTHETIC,,,MEDIUM,
VEH-003234,motorcycle,SYN-0003234,Model-A,true,SYNTHETIC,,,MEDIUM,
VEH-003235,motorcycle,SYN-0003235,Model-A,true,SYNTHETIC,,,MEDIUM,
VEH-003394,bus,SYN-0003394,Model-D,true,SYNTHETIC,,,MEDIUM,
VEH-003795,motorcycle,SYN-0003795,Model-D,true,SYNTHETIC,,,MEDIUM,
VEH-003950,motorcycle,SYN-0003950,Model-D,true,SYNTHETIC,,,MEDIUM,
VEH-003958,van,SYN-0003958,Model-B,true,SYNTHETIC,,,MEDIUM,
VEH-004077,motorcycle,SYN-0004077,Model-D,true,SYNTHETIC,,,MEDIUM,
VEH-004310,truck,SYN-0004310,Model-C,true,SYNTHETIC,,,MEDIUM,
VEH-004374,van,SYN-0004374,Model-A,true,SYNTHETIC,,,MEDIUM,
VEH-004375,truck,SYN-0004375,Model-C,true,SYNTHETIC,,,MEDIUM,
VEH-005096,car,SYN-0005096,Model-D,true,SYNTHETIC,,,MEDIUM,
VEH-005106,motorcycle,SYN-0005106,Model-B,true,SYNTHETIC,,,MEDIUM,
