case_id,case_title,investigation_type,status,opened_at,description,data_origin,source_dataset,source_record_reference,Synthetic_Flag,Source_Dataset,Generation_Batch_ID,Confidence_Level,Provenance_Mode,Audit_Reference
CASE-00001,Synthetic investigation 0001,financial,review,2025-07-25T16:10:47,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-FIN-0001,Medium,synthetic-design,AUDIT-cases-CASE-00001
CASE-00002,Synthetic investigation 0002,communication,closed,2025-01-26T03:45:42,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-COM-0002,Medium,synthetic-design,AUDIT-cases-CASE-00002
CASE-00003,Synthetic investigation 0003,cyber,open,2024-07-25T04:04:24,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-CYBER-0003,Medium,synthetic-design,AUDIT-cases-CASE-00003
CASE-00004,Synthetic investigation 0004,physical,open,2024-02-15T16:02:27,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-PHYS-0004,Medium,synthetic-design,AUDIT-cases-CASE-00004
CASE-00005,Synthetic investigation 0005,mixed,open,2025-03-19T14:57:23,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-MIXED-0005,Medium,synthetic-design,AUDIT-cases-CASE-00005
CASE-00006,Synthetic investigation 0006,financial,open,2024-05-01T04:42:53,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-FIN-0006,Medium,synthetic-design,AUDIT-cases-CASE-00006
CASE-00007,Synthetic investigation 0007,communication,review,2024-03-02T23:59:15,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-COM-0007,Medium,synthetic-design,AUDIT-cases-CASE-00007
CASE-00008,Synthetic investigation 0008,cyber,closed,2025-03-18T01:47:33,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-CYBER-0008,Medium,synthetic-design,AUDIT-cases-CASE-00008
CASE-00009,Synthetic investigation 0009,physical,closed,2024-03-11T16:13:06,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-PHYS-0009,Medium,synthetic-design,AUDIT-cases-CASE-00009
CASE-00010,Synthetic investigation 0010,mixed,closed,2024-02-13T10:26:50,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-MIXED-0010,Medium,synthetic-design,AUDIT-cases-CASE-00010
CASE-00011,Synthetic investigation 0011,financial,review,2025-08-05T09:08:03,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-FIN-0011,Medium,synthetic-design,AUDIT-cases-CASE-00011
CASE-00012,Synthetic investigation 0012,communication,open,2024-04-11T06:36:37,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-COM-0012,Medium,synthetic-design,AUDIT-cases-CASE-00012
CASE-00013,Synthetic investigation 0013,cyber,closed,2025-02-22T19:59:29,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-CYBER-0013,Medium,synthetic-design,AUDIT-cases-CASE-00013
CASE-00014,Synthetic investigation 0014,physical,closed,2024-09-02T23:18:07,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-PHYS-0014,Medium,synthetic-design,AUDIT-cases-CASE-00014
CASE-00015,Synthetic investigation 0015,mixed,open,2024-02-06T09:55:02,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-MIXED-0015,Medium,synthetic-design,AUDIT-cases-CASE-00015
CASE-00016,Synthetic investigation 0016,financial,closed,2025-03-23T16:39:45,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-FIN-0016,Medium,synthetic-design,AUDIT-cases-CASE-00016
CASE-00017,Synthetic investigation 0017,communication,review,2024-04-17T11:28:30,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-COM-0017,Medium,synthetic-design,AUDIT-cases-CASE-00017
CASE-00018,Synthetic investigation 0018,cyber,open,2025-02-04T16:47:37,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-CYBER-0018,Medium,synthetic-design,AUDIT-cases-CASE-00018
CASE-00019,Synthetic investigation 0019,physical,open,2025-05-14T13:58:07,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-PHYS-0019,Medium,synthetic-design,AUDIT-cases-CASE-00019
CASE-00020,Synthetic investigation 0020,mixed,closed,2024-08-22T03:45:06,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-MIXED-0020,Medium,synthetic-design,AUDIT-cases-CASE-00020
CASE-00021,Synthetic investigation 0021,financial,open,2025-08-01T00:21:36,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-FIN-0021,Medium,synthetic-design,AUDIT-cases-CASE-00021
CASE-00022,Synthetic investigation 0022,communication,closed,2024-12-14T09:28:30,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-COM-0022,Medium,synthetic-design,AUDIT-cases-CASE-00022
CASE-00023,Synthetic investigation 0023,cyber,review,2024-06-20T17:17:46,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-CYBER-0023,Medium,synthetic-design,AUDIT-cases-CASE-00023
CASE-00024,Synthetic investigation 0024,physical,closed,2025-02-27T05:35:44,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-PHYS-0024,Medium,synthetic-design,AUDIT-cases-CASE-00024
CASE-00025,Synthetic investigation 0025,mixed,open,2024-08-13T22:10:06,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-MIXED-0025,Medium,synthetic-design,AUDIT-cases-CASE-00025
CASE-00026,Synthetic investigation 0026,financial,review,2024-10-26T15:16:22,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-FIN-0026,Medium,synthetic-design,AUDIT-cases-CASE-00026
CASE-00027,Synthetic investigation 0027,communication,review,2025-04-19T05:30:40,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-COM-0027,Medium,synthetic-design,AUDIT-cases-CASE-00027
CASE-00028,Synthetic investigation 0028,cyber,review,2024-06-03T21:58:16,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-CYBER-0028,Medium,synthetic-design,AUDIT-cases-CASE-00028
CASE-00029,Synthetic investigation 0029,physical,closed,2024-09-03T19:38:55,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-PHYS-0029,Medium,synthetic-design,AUDIT-cases-CASE-00029
CASE-00030,Synthetic investigation 0030,mixed,closed,2024-09-05T20:39:06,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-MIXED-0030,Medium,synthetic-design,AUDIT-cases-CASE-00030
CASE-00031,Synthetic investigation 0031,financial,open,2024-08-12T08:44:37,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-FIN-0031,Medium,synthetic-design,AUDIT-cases-CASE-00031
CASE-00032,Synthetic investigation 0032,communication,open,2024-10-22T00:45:30,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-COM-0032,Medium,synthetic-design,AUDIT-cases-CASE-00032
CASE-00033,Synthetic investigation 0033,cyber,closed,2024-12-07T06:50:34,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-CYBER-0033,Medium,synthetic-design,AUDIT-cases-CASE-00033
CASE-00034,Synthetic investigation 0034,physical,review,2025-01-05T22:28:14,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-PHYS-0034,Medium,synthetic-design,AUDIT-cases-CASE-00034
CASE-00035,Synthetic investigation 0035,mixed,open,2024-01-13T19:18:19,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-MIXED-0035,Medium,synthetic-design,AUDIT-cases-CASE-00035
