communication_id,timestamp,event_type,source_person_id,target_person_id,source_phone_id,target_phone_id,source_device_id,target_device_id,location_id,duration_or_volume,data_origin,source_dataset,source_record_reference,Synthetic_Flag,Source_Dataset,Generation_Batch_ID,Confidence_Level,Provenance_Mode,Audit_Reference
COM-00000001,2025-10-14T00:28:33,data,PER-000102,PER-000105,,,,,LOC-001991,51.23,SYNTHETIC,,,true,,SCN-MIXED-0005,Medium,synthetic-design,AUDIT-communication_events-COM-00000001
COM-00000002,2025-01-15T13:26:18,data,PER-000027,PER-000047,,,,,LOC-002440,24.77,SYNTHETIC,,,true,,SCN-COM-0002,Medium,synthetic-design,AUDIT-communication_events-COM-00000002
COM-00000003,2024-12-13T20:37:12,data,PER-000128,PER-000134,,,,,LOC-003404,188.15,SYNTHETIC,,,true,,SCN-COM-0007,Medium,synthetic-design,AUDIT-communication_events-COM-00000003
COM-00000004,2024-05-11T13:21:27,message,PER-000231,PER-000232,,,,,LOC-008982,7.31,SYNTHETIC,,,true,,SCN-COM-0012,Medium,synthetic-design,AUDIT-communication_events-COM-00000004
COM-00000005,2024-10-14T16:11:20,data,PER-000322,PER-000338,,,,,LOC-006736,69.42,SYNTHETIC,,,true,,SCN-COM-0017,Medium,synthetic-design,AUDIT-communication_events-COM-00000005
COM-00000006,2025-04-09T05:44:35,call,PER-000188,PER-000192,,,,,LOC-004981,57.89,SYNTHETIC,,,true,,SCN-MIXED-0010,Medium,synthetic-design,AUDIT-communication_events-COM-00000006
COM-00000007,2024-09-07T20:56:35,call,PER-000366,PER-000374,,,,,LOC-005338,4.65,SYNTHETIC,,,true,,SCN-COM-0022,Medium,synthetic-design,AUDIT-communication_events-COM-00000007
COM-00000008,2024-01-17T19:52:43,message,PER-000498,PER-000502,,,,,LOC-001940,112.77,SYNTHETIC,,,true,,SCN-COM-0027,Medium,synthetic-design,AUDIT-communication_events-COM-00000008
COM-00000009,2024-02-06T04:49:00,data,PER-000602,PER-000614,,,,,LOC-006549,43.67,SYNTHETIC,,,true,,SCN-COM-0032,Medium,synthetic-design,AUDIT-communication_events-COM-00000009
COM-00000010,2025-08-23T20:19:04,data,PER-000685,PER-000687,,,,,LOC-004724,267.88,SYNTHETIC,,,true,,SCN-COM-0037,Medium,synthetic-design,AUDIT-communication_events-COM-00000010
COM-00000011,2024-06-23T12:45:02,call,PER-000304,PER-000309,,,,,LOC-002381,354.13,SYNTHETIC,,,true,,SCN-MIXED-0015,Medium,synthetic-design,AUDIT-communication_events-COM-00000011
COM-00000012,2024-04-15T13:24:16,message,PER-000777,PER-000779,,,,,LOC-006449,112.33,SYNTHETIC,,,true,,SCN-COM-0042,Medium,synthetic-design,AUDIT-communication_events-COM-00000012
COM-00000013,2024-06-10T13:25:25,message,PER-000848,PER-000860,,,,,LOC-001610,127.35,SYNTHETIC,,,true,,SCN-COM-0047,Medium,synthetic-design,AUDIT-communication_events-COM-00000013
COM-00000014,2024-01-09T23:10:34,call,PER-000926,PER-000939,,,,,LOC-007307,5.29,SYNTHETIC,,,true,,SCN-COM-0052,Medium,synthetic-design,AUDIT-communication_events-COM-00000014
COM-00000015,2025-01-21T19:10:12,call,PER-001025,PER-001028,,,,,LOC-002471,26.93,SYNTHETIC,,,true,,SCN-COM-0057,Medium,synthetic-design,AUDIT-communication_events-COM-00000015
COM-00000016,2024-10-12T01:20:19,data,PER-000349,PER-000355,,,,,LOC-002305,225.17,SYNTHETIC,,,true,,SCN-MIXED-0020,Medium,synthetic-design,AUDIT-communication_events-COM-00000016
COM-00000017,2024-07-18T15:24:58,sms,PER-001110,PER-001114,,,,,LOC-005499,44.16,SYNTHETIC,,,true,,SCN-COM-0062,Medium,synthetic-design,AUDIT-communication_events-COM-00000017
COM-00000018,2024-05-07T05:28:08,call,PER-001154,PER-001157,,,,,LOC-005281,12.96,SYNTHETIC,,,true,,SCN-COM-0067,Medium,synthetic-design,AUDIT-communication_events-COM-00000018
COM-00000019,2024-06-09T03:36:57,call,PER-001226,PER-001227,,,,,LOC-009621,84.36,SYNTHETIC,,,true,,SCN-COM-0072,Medium,synthetic-design,AUDIT-communication_events-COM-00000019
COM-00000020,2024-09-14T10:18:00,sms,PER-001310,PER-001312,,,,,LOC-001083,72.18,SYNTHETIC,,,true,,SCN-COM-0077,Medium,synthetic-design,AUDIT-communication_events-COM-00000020
COM-00000021,2024-04-23T11:34:19,data,PER-000448,PER-000451,,,,,LOC-009919,1,SYNTHETIC,,,true,,SCN-MIXED-0025,Medium,synthetic-design,AUDIT-communication_events-COM-00000021
COM-00000022,2024-10-10T06:55:40,sms,PER-001391,PER-001408,,,,,LOC-003053,3.27,SYNTHETIC,,,true,,SCN-COM-0082,Medium,synthetic-design,AUDIT-communication_events-COM-00000022
COM-00000023,2024-03-26T06:08:36,sms,PER-001482,PER-001483,,,,,LOC-007028,152.84,SYNTHETIC,,,true,,SCN-COM-0087,Medium,synthetic-design,AUDIT-communication_events-COM-00000023
COM-00000024,2024-11-02T06:32:53,sms,PER-001543,PER-001546,,,,,LOC-003863,229.28,SYNTHETIC,,,true,,SCN-COM-0092,Medium,synthetic-design,AUDIT-communication_events-COM-00000024
COM-00000025,2024-04-20T16:42:32,call,PER-001606,PER-001619,,,,,LOC-006979,248.72,SYNTHETIC,,,true,,SCN-COM-0097,Medium,synthetic-design,AUDIT-communication_events-COM-00000025
COM-00000026,2024-06-10T07:16:03,sms,PER-000561,PER-000568,,,,,LOC-000719,100.16,SYNTHETIC,,,true,,SCN-MIXED-0030,Medium,synthetic-design,AUDIT-communication_events-COM-00000026
COM-00000027,2024-03-06T17:30:32,message,PER-001706,PER-001718,,,,,LOC-008401,67.5,SYNTHETIC,,,true,,SCN-COM-0102,Medium,synthetic-design,AUDIT-communication_events-COM-00000027
COM-00000028,2025-02-08T23:26:46,sms,PER-001786,PER-001788,,,,,LOC-003459,86.31,SYNTHETIC,,,true,,SCN-COM-0107,Medium,synthetic-design,AUDIT-communication_events-COM-00000028
COM-00000029,2024-10-08T16:19:44,call,PER-001878,PER-001880,,,,,LOC-009111,175.65,SYNTHETIC,,,true,,SCN-COM-0112,Medium,synthetic-design,AUDIT-communication_events-COM-00000029
COM-00000030,2025-06-22T01:15:10,data,PER-001980,PER-001981,,,,,LOC-007656,97.99,SYNTHETIC,,,true,,SCN-COM-0117,Medium,synthetic-design,AUDIT-communication_events-COM-00000030
COM-00000031,2025-02-13T07:10:49,message,PER-000633,PER-000672,,,,,LOC-003414,22.74,SYNTHETIC,,,true,,SCN-MIXED-0035,Medium,synthetic-design,AUDIT-communication_events-COM-00000031
COM-00000032,2025-03-01T21:44:06,data,PER-002043,PER-002045,,,,,LOC-001728,41.09,SYNTHETIC,,,true,,SCN-COM-0122,Medium,synthetic-design,AUDIT-communication_events-COM-00000032
COM-00000033,2024-09-04T15:34:20,data,PER-002091,PER-002109,,,,,LOC-003186,5.9,SYNTHETIC,,,true,,SCN-COM-0127,Medium,synthetic-design,AUDIT-communication_events-COM-00000033
COM-00000034,2024-06-22T14:29:57,call,PER-002207,PER-002216,,,,,LOC-002035,288.04,SYNTHETIC,,,true,,SCN-COM-0132,Medium,synthetic-design,AUDIT-communication_events-COM-00000034
COM-00000035,2025-12-13T21:00:10,sms,PER-002264,PER-002283,,,,,LOC-001990,8.85,SYNTHETIC,,,true,,SCN-COM-0137,Medium,synthetic-design,AUDIT-communication_events-COM-00000035
COM-00000036,2025-11-19T12:25:41,message,PER-000746,PER-000749,,,,,LOC-007898,214.05,SYNTHETIC,,,true,,SCN-MIXED-0040,Medium,synthetic-design,AUDIT-communication_events-COM-00000036
COM-00000037,2025-08-06T13:19:17,sms,PER-002357,PER-002363,,,,,LOC-009475,42.76,SYNTHETIC,,,true,,SCN-COM-0142,Medium,synthetic-design,AUDIT-communication_events-COM-00000037
COM-00000038,2025-05-07T19:27:35,message,PER-002477,PER-002483,,,,,LOC-003966,61.52,SYNTHETIC,,,true,,SCN-COM-0147,Medium,synthetic-design,AUDIT-communication_events-COM-00000038
COM-00000039,2025-03-20T00:18:45,call,PER-002551,PER-002566,,,,,LOC-005328,8.93,SYNTHETIC,,,true,,SCN-COM-0152,Medium,synthetic-design,AUDIT-communication_events-COM-00000039
COM-00000040,2024-11-09T03:48:07,message,PER-002637,PER-002649,,,,,LOC-000874,39.08,SYNTHETIC,,,true,,SCN-COM-0157,Medium,synthetic-design,AUDIT-communication_events-COM-00000040
COM-00000041,2025-08-29T15:01:35,call,PER-000825,PER-000840,,,,,LOC-004581,66.5,SYNTHETIC,,,true,,SCN-MIXED-0045,Medium,synthetic-design,AUDIT-communication_events-COM-00000041
COM-00000042,2024-04-28T07:57:32,data,PER-002820,PER-002830,,,,,LOC-004443,33.47,SYNTHETIC,,,true,,SCN-COM-0162,Medium,synthetic-design,AUDIT-communication_events-COM-00000042
COM-00000043,2025-02-17T20:39:24,call,PER-002924,PER-002931,,,,,LOC-007521,63.12,SYNTHETIC,,,true,,SCN-COM-0167,Medium,synthetic-design,AUDIT-communication_events-COM-00000043
COM-00000044,2025-04-25T07:25:20,message,PER-002997,PER-002998,,,,,LOC-003436,269.71,SYNTHETIC,,,true,,SCN-COM-0172,Medium,synthetic-design,AUDIT-communication_events-COM-00000044
COM-00000045,2024-01-04T05:36:13,sms,PER-003108,PER-003122,,,,,LOC-004746,9.26,SYNTHETIC,,,true,,SCN-COM-0177,Medium,synthetic-design,AUDIT-communication_events-COM-00000045
COM-00000046,2024-09-24T16:41:15,message,PER-000895,PER-000901,,,,,LOC-003208,84.54,SYNTHETIC,,,true,,SCN-MIXED-0050,Medium,synthetic-design,AUDIT-communication_events-COM-00000046
COM-00000047,2024-11-15T19:41:11,sms,PER-003211,PER-003215,,,,,LOC-005619,1,SYNTHETIC,,,true,,SCN-COM-0182,Medium,synthetic-design,AUDIT-communication_events-COM-00000047
