network_event_id,timestamp,source_device_id,destination_device_id,event_type,protocol_or_socket,request_size,response_size,location_id,data_origin,source_dataset,source_record_reference,Synthetic_Flag,Source_Dataset,Generation_Batch_ID,Confidence_Level,Provenance_Mode,Audit_Reference
NET-00000001,2025-12-31T15:49:32,DEV-005925,DEV-021172,response,UDP/53,90794,341411,LOC-001991,SYNTHETIC,,,true,,SCN-MIXED-0005,Medium,synthetic-design,AUDIT-network_events-NET-00000001
NET-00000002,2024-11-22T10:33:12,DEV-027520,DEV-007386,response,TCP/22,49973,155022,LOC-002307,SYNTHETIC,,,true,,SCN-CYBER-0003,Medium,synthetic-design,AUDIT-network_events-NET-00000002
NET-00000003,2024-03-01T07:28:56,DEV-018850,DEV-033953,request,TCP/443,29187,98443,LOC-003791,SYNTHETIC,,,true,,SCN-CYBER-0008,Medium,synthetic-design,AUDIT-network_events-NET-00000003
NET-00000004,2025-05-28T10:37:04,DEV-021494,DEV-000031,session,TCP/80,26549,104924,LOC-006983,SYNTHETIC,,,true,,SCN-CYBER-0013,Medium,synthetic-design,AUDIT-network_events-NET-00000004
NET-00000005,2024-02-13T12:55:31,DEV-020677,DEV-030272,connection,UDP/53,77300,168336,LOC-001946,SYNTHETIC,,,true,,SCN-CYBER-0018,Medium,synthetic-design,AUDIT-network_events-NET-00000005
NET-00000006,2024-08-20T22:37:25,DEV-003631,DEV-005731,request,UDP/53,19024,15866,LOC-004981,SYNTHETIC,,,true,,SCN-MIXED-0010,Medium,synthetic-design,AUDIT-network_events-NET-00000006
NET-00000007,2024-06-27T00:02:51,DEV-017932,DEV-034910,request,UDP/53,14396,380865,LOC-003009,SYNTHETIC,,,true,,SCN-CYBER-0023,Medium,synthetic-design,AUDIT-network_events-NET-00000007
NET-00000008,2024-09-06T12:43:42,DEV-031072,DEV-023706,response,TCP/443,60323,283442,LOC-001643,SYNTHETIC,,,true,,SCN-CYBER-0028,Medium,synthetic-design,AUDIT-network_events-NET-00000008
NET-00000009,2025-06-29T21:21:31,DEV-006389,DEV-031989,response,TCP/80,30277,335194,LOC-006307,SYNTHETIC,,,true,,SCN-CYBER-0033,Medium,synthetic-design,AUDIT-network_events-NET-00000009
NET-00000010,2024-11-26T10:36:14,DEV-029970,DEV-028639,connection,TCP/443,83241,469989,LOC-000658,SYNTHETIC,,,true,,SCN-CYBER-0038,Medium,synthetic-design,AUDIT-network_events-NET-00000010
NET-00000011,2024-11-15T05:49:29,DEV-028019,DEV-033599,request,TCP/80,72720,225842,LOC-002381,SYNTHETIC,,,true,,SCN-MIXED-0015,Medium,synthetic-design,AUDIT-network_events-NET-00000011
NET-00000012,2025-05-28T08:25:21,DEV-015744,DEV-004737,session,TCP/443,52774,359134,LOC-001426,SYNTHETIC,,,true,,SCN-CYBER-0043,Medium,synthetic-design,AUDIT-network_events-NET-00000012
NET-00000013,2024-02-06T08:05:16,DEV-018102,DEV-001402,session,TCP/443,47338,96703,LOC-009892,SYNTHETIC,,,true,,SCN-CYBER-0048,Medium,synthetic-design,AUDIT-network_events-NET-00000013
NET-00000014,2025-08-26T05:13:41,DEV-004515,DEV-002328,response,TCP/443,25122,236695,LOC-003350,SYNTHETIC,,,true,,SCN-CYBER-0053,Medium,synthetic-design,AUDIT-network_events-NET-00000014
NET-00000015,2025-03-26T23:33:30,DEV-012880,DEV-009284,session,UDP/53,77980,147243,LOC-001689,SYNTHETIC,,,true,,SCN-CYBER-0058,Medium,synthetic-design,AUDIT-network_events-NET-00000015
NET-00000016,2025-07-19T07:53:10,DEV-007780,DEV-018271,response,UDP/53,37364,342187,LOC-002305,SYNTHETIC,,,true,,SCN-MIXED-0020,Medium,synthetic-design,AUDIT-network_events-NET-00000016
NET-00000017,2025-12-05T20:15:00,DEV-022444,DEV-002681,response,TCP/443,56663,154518,LOC-006097,SYNTHETIC,,,true,,SCN-CYBER-0063,Medium,synthetic-design,AUDIT-network_events-NET-00000017
NET-00000018,2025-01-17T09:39:33,DEV-016053,DEV-009993,request,TCP/22,37464,126253,LOC-009427,SYNTHETIC,,,true,,SCN-CYBER-0068,Medium,synthetic-design,AUDIT-network_events-NET-00000018
NET-00000019,2024-04-28T19:34:06,DEV-026432,DEV-000869,session,TCP/443,12019,371480,LOC-003583,SYNTHETIC,,,true,,SCN-CYBER-0073,Medium,synthetic-design,AUDIT-network_events-NET-00000019
NET-00000020,2025-08-09T00:52:51,DEV-008877,DEV-010449,connection,TCP/22,64427,266831,LOC-007740,SYNTHETIC,,,true,,SCN-CYBER-0078,Medium,synthetic-design,AUDIT-network_events-NET-00000020
NET-00000021,2025-01-07T23:00:52,DEV-027630,DEV-026053,request,TCP/80,71734,471372,LOC-009919,SYNTHETIC,,,true,,SCN-MIXED-0025,Medium,synthetic-design,AUDIT-network_events-NET-00000021
NET-00000022,2024-06-02T04:55:23,DEV-003487,DEV-011526,response,TCP/443,52239,210186,LOC-009698,SYNTHETIC,,,true,,SCN-CYBER-0083,Medium,synthetic-design,AUDIT-network_events-NET-00000022
NET-00000023,2024-06-07T07:53:10,DEV-019943,DEV-012507,connection,TCP/22,92060,324765,LOC-007053,SYNTHETIC,,,true,,SCN-CYBER-0088,Medium,synthetic-design,AUDIT-network_events-NET-00000023
NET-00000024,2024-08-10T16:18:29,DEV-022501,DEV-011429,session,TCP/80,29249,183885,LOC-009487,SYNTHETIC,,,true,,SCN-CYBER-0093,Medium,synthetic-design,AUDIT-network_events-NET-00000024
NET-00000025,2025-09-29T06:12:14,DEV-002207,DEV-028703,request,TCP/443,88757,54999,LOC-003826,SYNTHETIC,,,true,,SCN-CYBER-0098,Medium,synthetic-design,AUDIT-network_events-NET-00000025
NET-00000026,2024-07-05T09:02:18,DEV-005162,DEV-002362,session,UDP/53,69235,193035,LOC-000719,SYNTHETIC,,,true,,SCN-MIXED-0030,Medium,synthetic-design,AUDIT-network_events-NET-00000026
NET-00000027,2025-05-12T17:12:28,DEV-007369,DEV-020234,connection,TCP/443,35379,489625,LOC-003537,SYNTHETIC,,,true,,SCN-CYBER-0103,Medium,synthetic-design,AUDIT-network_events-NET-00000027
NET-00000028,2024-05-17T23:29:12,DEV-004450,DEV-024309,response,TCP/443,27710,469589,LOC-005857,SYNTHETIC,,,true,,SCN-CYBER-0108,Medium,synthetic-design,AUDIT-network_events-NET-00000028
NET-00000029,2024-12-31T12:47:21,DEV-005689,DEV-012792,request,UDP/53,65484,91563,LOC-002996,SYNTHETIC,,,true,,SCN-CYBER-0113,Medium,synthetic-design,AUDIT-network_events-NET-00000029
NET-00000030,2025-03-29T07:41:02,DEV-019972,DEV-003648,session,TCP/443,68956,334082,LOC-001034,SYNTHETIC,,,true,,SCN-CYBER-0118,Medium,synthetic-design,AUDIT-network_events-NET-00000030
NET-00000031,2025-09-02T19:18:54,DEV-000174,DEV-001385,request,UDP/53,68636,47645,LOC-003414,SYNTHETIC,,,true,,SCN-MIXED-0035,Medium,synthetic-design,AUDIT-network_events-NET-00000031
NET-00000032,2025-08-09T20:27:09,DEV-008226,DEV-002116,response,TCP/80,14237,454313,LOC-006471,SYNTHETIC,,,true,,SCN-CYBER-0123,Medium,synthetic-design,AUDIT-network_events-NET-00000032
NET-00000033,2025-06-25T02:56:14,DEV-011368,DEV-016645,session,UDP/53,4204,373328,LOC-000865,SYNTHETIC,,,true,,SCN-CYBER-0128,Medium,synthetic-design,AUDIT-network_events-NET-00000033
NET-00000034,2024-09-29T22:08:01,DEV-018192,DEV-020164,request,TCP/22,44553,265599,LOC-000937,SYNTHETIC,,,true,,SCN-CYBER-0133,Medium,synthetic-design,AUDIT-network_events-NET-00000034
NET-00000035,2024-04-16T02:32:49,DEV-014849,DEV-006564,session,TCP/80,77373,329846,LOC-006740,SYNTHETIC,,,true,,SCN-CYBER-0138,Medium,synthetic-design,AUDIT-network_events-NET-00000035
NET-00000036,2025-01-19T13:17:01,DEV-007887,DEV-000725,request,UDP/53,63566,455690,LOC-007898,SYNTHETIC,,,true,,SCN-MIXED-0040,Medium,synthetic-design,AUDIT-network_events-NET-00000036
NET-00000037,2025-10-24T00:49:34,DEV-001090,DEV-031582,connection,TCP/443,2350,322689,LOC-001575,SYNTHETIC,,,true,,SCN-CYBER-0143,Medium,synthetic-design,AUDIT-network_events-NET-00000037
NET-00000038,2025-03-24T18:40:50,DEV-000197,DEV-029974,response,TCP/443,46996,178303,LOC-007610,SYNTHETIC,,,true,,SCN-CYBER-0148,Medium,synthetic-design,AUDIT-network_events-NET-00000038
NET-00000039,2024-11-23T22:23:43,DEV-019263,DEV-011595,response,TCP/80,33564,239036,LOC-003795,SYNTHETIC,,,true,,SCN-CYBER-0153,Medium,synthetic-design,AUDIT-network_events-NET-00000039
NET-00000040,2025-07-24T04:10:16,DEV-027411,DEV-024849,session,TCP/22,32947,235011,LOC-004770,SYNTHETIC,,,true,,SCN-CYBER-0158,Medium,synthetic-design,AUDIT-network_events-NET-00000040
NET-00000041,2025-10-02T05:03:35,DEV-024964,DEV-009235,session,TCP/22,27016,60409,LOC-004581,SYNTHETIC,,,true,,SCN-MIXED-0045,Medium,synthetic-design,AUDIT-network_events-NET-00000041
NET-00000042,2024-08-07T13:48:29,DEV-033447,DEV-028078,connection,TCP/22,19142,230853,LOC-005851,SYNTHETIC,,,true,,SCN-CYBER-0163,Medium,synthetic-design,AUDIT-network_events-NET-00000042
NET-00000043,2024-08-04T01:40:48,DEV-021036,DEV-000358,response,UDP/53,39937,189775,LOC-002694,SYNTHETIC,,,true,,SCN-CYBER-0168,Medium,synthetic-design,AUDIT-network_events-NET-00000043
NET-00000044,2025-10-17T04:29:03,DEV-010684,DEV-027235,request,TCP/22,58551,52217,LOC-001752,SYNTHETIC,,,true,,SCN-CYBER-0173,Medium,synthetic-design,AUDIT-network_events-NET-00000044
NET-00000045,2025-05-05T05:52:51,DEV-006706,DEV-034759,connection,TCP/22,39473,288141,LOC-005340,SYNTHETIC,,,true,,SCN-CYBER-0178,Medium,synthetic-design,AUDIT-network_events-NET-00000045
NET-00000046,2025-08-22T22:39:39,DEV-029302,DEV-006017,request,TCP/80,84423,122293,LOC-003208,SYNTHETIC,,,true,,SCN-MIXED-0050,Medium,synthetic-design,AUDIT-network_events-NET-00000046
NET-00000047,2025-05-02T21:36:11,DEV-003830,DEV-011965,request,TCP/22,30582,405207,LOC-009834,SYNTHETIC,,,true,,SCN-CYBER-0183,Medium,synthetic-design,AUDIT-network_events-NET-00000047
NET-00000048,2024-03-23T07:02:05,DEV-013254,DEV-019599,response,TCP/443,15205,174940,LOC-000832,SYNTHETIC,,,true,,SCN-CYBER-0188,Medium,synthetic-design,AUDIT-network_events-NET-00000048
NET-00000049,2025-05-27T07:07:05,DEV-033942,DEV-007288,connection,TCP/443,31144,16675,LOC-007588,SYNTHETIC,,,true,,SCN-CYBER-0193,Medium,synthetic-design,AUDIT-network_events-NET-00000049
NET-00000050,2024-04-08T15:25:24,DEV-020284,DEV-022963,request,TCP/80,90582,221026,LOC-004056,SYNTHETIC,,,true,,SCN-CYBER-0198,Medium,synthetic-design,AUDIT-network_events-NET-00000050
NET-00000051,2025-06-22T09:54:13,DEV-024670,DEV-025274,session,TCP/80,64471,464727,LOC-000542,SYNTHETIC,,,true,,SCN-MIXED-0055,Medium,synthetic-design,AUDIT-network_events-NET-00000051
NET-00000052,2024-10-10T16:35:45,DEV-016894,DEV-006347,response,UDP/53,54849,160090,LOC-003933,SYNTHETIC,,,true,,SCN-CYBER-0203,Medium,synthetic-design,AUDIT-network_events-NET-00000052
NET-00000053,2025-01-19T22:04:57,DEV-001716,DEV-031687,request,TCP/22,15207,62476,LOC-009178,SYNTHETIC,,,true,,SCN-CYBER-0208,Medium,synthetic-design,AUDIT-network_events-NET-00000053
NET-00000054,2025-09-25T11:19:51,DEV-017895,DEV-009496,session,TCP/80,68678,476719,LOC-004113,SYNTHETIC,,,true,,SCN-CYBER-0213,Medium,synthetic-design,AUDIT-network_events-NET-00000054
NET-00000055,2024-09-29T09:46:04,DEV-032104,DEV-007307,session,TCP/80,449,266899,LOC-008681,SYNTHETIC,,,true,,SCN-CYBER-0218,Medium,synthetic-design,AUDIT-network_events-NET-00000055
NET-00000056,2025-11-16T02:04:21,DEV-020253,DEV-015437,request,TCP/22,51422,115057,LOC-004478,SYNTHETIC,,,true,,SCN-MIXED-0060,Medium,synthetic-design,AUDIT-network_events-NET-00000056
NET-00000057,2025-08-06T06:00:13,DEV-001291,DEV-031614,connection,TCP/22,47988,10051,LOC-007169,SYNTHETIC,,,true,,SCN-CYBER-0223,Medium,synthetic-design,AUDIT-network_events-NET-00000057
NET-00000058,2024-01-15T06:33:16,DEV-002031,DEV-032650,connection,TCP/80,49668,7249,LOC-003108,SYNTHETIC,,,true,,SCN-CYBER-0228,Medium,synthetic-design,AUDIT-network_events-NET-00000058
NET-00000059,2024-08-05T20:16:21,DEV-019778,DEV-000041,connection,TCP/80,63536,191304,LOC-004987,SYNTHETIC,,,true,,SCN-CYBER-0233,Medium,synthetic-design,AUDIT-network_events-NET-00000059
NET-00000060,2024-02-16T17:26:40,DEV-030614,DEV-001983,connection,UDP/53,61557,380238,LOC-005672,SYNTHETIC,,,true,,SCN-CYBER-0238,Medium,synthetic-design,AUDIT-network_events-NET-00000060
NET-00000061,2024-01-13T22:03:12,DEV-022269,DEV-023562,response,TCP/80,85059,186484,LOC-001393,SYNTHETIC,,,true,,SCN-MIXED-0065,Medium,synthetic-design,AUDIT-network_events-NET-00000061
NET-00000062,2025-11-16T07:56:14,DEV-007156,DEV-005342,request,TCP/22,52677,205859,LOC-003082,SYNTHETIC,,,true,,SCN-CYBER-0243,Medium,synthetic-design,AUDIT-network_events-NET-00000062
NET-00000063,2024-04-22T20:54:20,DEV-027110,DEV-010428,response,TCP/80,78841,170806,LOC-006484,SYNTHETIC,,,true,,SCN-CYBER-0248,Medium,synthetic-design,AUDIT-network_events-NET-00000063
NET-00000064,2025-04-24T23:01:45,DEV-016343,DEV-011340,connection,TCP/443,81576,231560,LOC-009503,SYNTHETIC,,,true,,SCN-CYBER-0253,Medium,synthetic-design,AUDIT-network_events-NET-00000064
NET-00000065,2025-11-26T04:41:15,DEV-031550,DEV-022465,connection,TCP/443,27699,395555,LOC-002546,SYNTHETIC,,,true,,SCN-CYBER-0258,Medium,synthetic-design,AUDIT-network_events-NET-00000065
NET-00000066,2025-06-29T05:23:57,DEV-009060,DEV-011389,response,TCP/80,27859,187932,LOC-006582,SYNTHETIC,,,true,,SCN-MIXED-0070,Medium,synthetic-design,AUDIT-network_events-NET-00000066
NET-00000067,2024-01-03T05:35:10,DEV-012619,DEV-022231,request,TCP/443,78417,399290,LOC-005543,SYNTHETIC,,,true,,SCN-CYBER-0263,Medium,synthetic-design,AUDIT-network_events-NET-00000067
NET-00000068,2025-11-25T05:45:01,DEV-004252,DEV-030398,request,TCP/22,39496,60665,LOC-004545,SYNTHETIC,,,true,,SCN-CYBER-0268,Medium,synthetic-design,AUDIT-network_events-NET-00000068
NET-00000069,2024-07-18T09:07:57,DEV-017014,DEV-023963,response,TCP/443,31390,310109,LOC-007169,SYNTHETIC,,,true,,SCN-CYBER-0273,Medium,synthetic-design,AUDIT-network_events-NET-00000069
NET-00000070,2024-01-18T09:27:50,DEV-012105,DEV-005796,session,UDP/53,10873,53299,LOC-007386,SYNTHETIC,,,true,,SCN-CYBER-0278,Medium,synthetic-design,AUDIT-network_events-NET-00000070
NET-00000071,2025-11-14T10:41:40,DEV-023975,DEV-014420,response,UDP/53,76179,353291,LOC-006967,SYNTHETIC,,,true,,SCN-MIXED-0075,Medium,synthetic-design,AUDIT-network_events-NET-00000071
NET-00000072,2025-03-09T02:26:57,DEV-018447,DEV-000773,connection,TCP/80,93388,267741,LOC-003747,SYNTHETIC,,,true,,SCN-CYBER-0283,Medium,synthetic-design,AUDIT-network_events-NET-00000072
NET-00000073,2024-09-08T13:08:35,DEV-011339,DEV-017061,request,TCP/443,14638,298283,LOC-009450,SYNTHETIC,,,true,,SCN-CYBER-0288,Medium,synthetic-design,AUDIT-network_events-NET-00000073
