physical_event_id,timestamp,person_id,event_type,location_id,source_identifier,data_origin,source_dataset,source_record_reference,Synthetic_Flag,Source_Dataset,Generation_Batch_ID,Confidence_Level,Provenance_Mode,Audit_Reference
PHY-00000001,2025-10-11T13:32:03,PER-000102,prox-out-classified,LOC-001991,SYN-ACCESS-00000001,SYNTHETIC,,,true,,SCN-MIXED-0005,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000001
PHY-00000002,2024-10-07T00:52:43,PER-000077,prox-in-building,LOC-001646,SYN-ACCESS-00000002,SYNTHETIC,,,true,,SCN-PHYS-0004,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000002
PHY-00000003,2024-06-08T16:57:06,PER-000166,prox-in-building,LOC-006012,SYN-ACCESS-00000003,SYNTHETIC,,,true,,SCN-PHYS-0009,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000003
PHY-00000004,2025-08-19T09:26:10,PER-000279,prox-out-classified,LOC-003516,SYN-ACCESS-00000004,SYNTHETIC,,,true,,SCN-PHYS-0014,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000004
PHY-00000005,2024-05-14T07:01:20,PER-000343,prox-out-classified,LOC-009049,SYN-ACCESS-00000005,SYNTHETIC,,,true,,SCN-PHYS-0019,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000005
PHY-00000006,2024-12-12T04:06:42,PER-000188,prox-in-classified,LOC-004981,SYN-ACCESS-00000006,SYNTHETIC,,,true,,SCN-MIXED-0010,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000006
PHY-00000007,2025-07-30T01:06:00,PER-000442,prox-in-building,LOC-002126,SYN-ACCESS-00000007,SYNTHETIC,,,true,,SCN-PHYS-0024,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000007
PHY-00000008,2025-01-29T11:03:33,PER-000542,prox-in-classified,LOC-000263,SYN-ACCESS-00000008,SYNTHETIC,,,true,,SCN-PHYS-0029,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000008
PHY-00000009,2025-09-28T05:04:14,PER-000626,prox-in-building,LOC-005318,SYN-ACCESS-00000009,SYNTHETIC,,,true,,SCN-PHYS-0034,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000009
PHY-00000010,2024-04-11T09:11:21,PER-000716,prox-out-classified,LOC-004825,SYN-ACCESS-00000010,SYNTHETIC,,,true,,SCN-PHYS-0039,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000010
PHY-00000011,2025-04-19T18:49:21,PER-000304,prox-in-building,LOC-002381,SYN-ACCESS-00000011,SYNTHETIC,,,true,,SCN-MIXED-0015,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000011
PHY-00000012,2025-02-28T21:09:36,PER-000816,prox-out-classified,LOC-004106,SYN-ACCESS-00000012,SYNTHETIC,,,true,,SCN-PHYS-0044,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000012
PHY-00000013,2025-09-02T20:15:25,PER-000877,prox-out-classified,LOC-007063,SYN-ACCESS-00000013,SYNTHETIC,,,true,,SCN-PHYS-0049,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000013
PHY-00000014,2025-05-20T13:53:27,PER-000962,prox-in-building,LOC-004859,SYN-ACCESS-00000014,SYNTHETIC,,,true,,SCN-PHYS-0054,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000014
PHY-00000015,2024-01-18T13:45:21,PER-001064,prox-out-classified,LOC-001089,SYN-ACCESS-00000015,SYNTHETIC,,,true,,SCN-PHYS-0059,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000015
PHY-00000016,2024-01-15T07:11:50,PER-000349,prox-in-classified,LOC-002305,SYN-ACCESS-00000016,SYNTHETIC,,,true,,SCN-MIXED-0020,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000016
PHY-00000017,2025-07-31T19:20:11,PER-001123,prox-out-classified,LOC-001558,SYN-ACCESS-00000017,SYNTHETIC,,,true,,SCN-PHYS-0064,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000017
PHY-00000018,2025-02-08T12:08:57,PER-001171,prox-out-classified,LOC-002371,SYN-ACCESS-00000018,SYNTHETIC,,,true,,SCN-PHYS-0069,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000018
PHY-00000019,2024-03-28T02:52:04,PER-001248,prox-in-classified,LOC-004097,SYN-ACCESS-00000019,SYNTHETIC,,,true,,SCN-PHYS-0074,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000019
PHY-00000020,2024-04-07T05:32:43,PER-001338,prox-in-classified,LOC-007449,SYN-ACCESS-00000020,SYNTHETIC,,,true,,SCN-PHYS-0079,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000020
PHY-00000021,2025-05-23T00:43:42,PER-000448,prox-in-classified,LOC-009919,SYN-ACCESS-00000021,SYNTHETIC,,,true,,SCN-MIXED-0025,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000021
PHY-00000022,2025-04-24T15:46:39,PER-001435,prox-in-building,LOC-003264,SYN-ACCESS-00000022,SYNTHETIC,,,true,,SCN-PHYS-0084,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000022
PHY-00000023,2024-08-24T21:53:26,PER-001507,prox-out-classified,LOC-003208,SYN-ACCESS-00000023,SYNTHETIC,,,true,,SCN-PHYS-0089,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000023
PHY-00000024,2025-01-30T21:58:35,PER-001587,prox-out-classified,LOC-007205,SYN-ACCESS-00000024,SYNTHETIC,,,true,,SCN-PHYS-0094,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000024
PHY-00000025,2024-03-17T07:05:01,PER-001673,prox-in-building,LOC-004883,SYN-ACCESS-00000025,SYNTHETIC,,,true,,SCN-PHYS-0099,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000025
PHY-00000026,2025-08-28T04:31:02,PER-000561,prox-in-building,LOC-000719,SYN-ACCESS-00000026,SYNTHETIC,,,true,,SCN-MIXED-0030,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000026
PHY-00000027,2025-10-16T01:15:11,PER-001747,prox-in-building,LOC-007615,SYN-ACCESS-00000027,SYNTHETIC,,,true,,SCN-PHYS-0104,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000027
PHY-00000028,2025-04-28T13:50:21,PER-001814,prox-in-building,LOC-000272,SYN-ACCESS-00000028,SYNTHETIC,,,true,,SCN-PHYS-0109,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000028
PHY-00000029,2025-01-26T14:23:06,PER-001926,prox-in-classified,LOC-009824,SYN-ACCESS-00000029,SYNTHETIC,,,true,,SCN-PHYS-0114,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000029
PHY-00000030,2025-11-07T15:23:55,PER-002009,prox-in-classified,LOC-006332,SYN-ACCESS-00000030,SYNTHETIC,,,true,,SCN-PHYS-0119,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000030
PHY-00000031,2025-05-16T12:55:06,PER-000633,prox-in-building,LOC-003414,SYN-ACCESS-00000031,SYNTHETIC,,,true,,SCN-MIXED-0035,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000031
PHY-00000032,2025-07-09T06:53:22,PER-002060,prox-out-classified,LOC-009222,SYN-ACCESS-00000032,SYNTHETIC,,,true,,SCN-PHYS-0124,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000032
PHY-00000033,2024-03-11T20:16:31,PER-002131,prox-in-classified,LOC-005874,SYN-ACCESS-00000033,SYNTHETIC,,,true,,SCN-PHYS-0129,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000033
PHY-00000034,2024-10-05T12:04:49,PER-002222,prox-in-building,LOC-003449,SYN-ACCESS-00000034,SYNTHETIC,,,true,,SCN-PHYS-0134,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000034
PHY-00000035,2024-02-04T00:44:10,PER-002304,prox-in-classified,LOC-003069,SYN-ACCESS-00000035,SYNTHETIC,,,true,,SCN-PHYS-0139,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000035
PHY-00000036,2024-11-17T01:38:09,PER-000746,prox-in-building,LOC-007898,SYN-ACCESS-00000036,SYNTHETIC,,,true,,SCN-MIXED-0040,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000036
PHY-00000037,2024-10-12T08:49:28,PER-002381,prox-in-classified,LOC-002434,SYN-ACCESS-00000037,SYNTHETIC,,,true,,SCN-PHYS-0144,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000037
PHY-00000038,2025-07-06T16:39:49,PER-002505,prox-out-classified,LOC-004518,SYN-ACCESS-00000038,SYNTHETIC,,,true,,SCN-PHYS-0149,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000038
PHY-00000039,2025-12-08T00:24:53,PER-002592,prox-in-classified,LOC-001363,SYN-ACCESS-00000039,SYNTHETIC,,,true,,SCN-PHYS-0154,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000039
PHY-00000040,2025-01-22T18:53:05,PER-002683,prox-out-classified,LOC-009654,SYN-ACCESS-00000040,SYNTHETIC,,,true,,SCN-PHYS-0159,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000040
PHY-00000041,2025-08-02T12:48:28,PER-000825,prox-in-classified,LOC-004581,SYN-ACCESS-00000041,SYNTHETIC,,,true,,SCN-MIXED-0045,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000041
PHY-00000042,2025-02-27T02:48:34,PER-002884,prox-in-building,LOC-009293,SYN-ACCESS-00000042,SYNTHETIC,,,true,,SCN-PHYS-0164,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000042
PHY-00000043,2024-11-23T21:14:34,PER-002946,prox-in-classified,LOC-001145,SYN-ACCESS-00000043,SYNTHETIC,,,true,,SCN-PHYS-0169,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000043
PHY-00000044,2025-06-09T19:33:23,PER-003042,prox-out-classified,LOC-002112,SYN-ACCESS-00000044,SYNTHETIC,,,true,,SCN-PHYS-0174,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000044
PHY-00000045,2025-04-03T13:04:57,PER-003161,prox-in-classified,LOC-007042,SYN-ACCESS-00000045,SYNTHETIC,,,true,,SCN-PHYS-0179,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000045
PHY-00000046,2025-05-19T11:23:14,PER-000895,prox-in-classified,LOC-003208,SYN-ACCESS-00000046,SYNTHETIC,,,true,,SCN-MIXED-0050,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000046
PHY-00000047,2025-08-17T01:23:02,PER-003233,prox-in-building,LOC-001301,SYN-ACCESS-00000047,SYNTHETIC,,,true,,SCN-PHYS-0184,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000047
PHY-00000048,2024-02-09T03:18:55,PER-003330,prox-out-classified,LOC-006042,SYN-ACCESS-00000048,SYNTHETIC,,,true,,SCN-PHYS-0189,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000048
PHY-00000049,2024-06-21T10:04:40,PER-003437,prox-out-classified,LOC-003747,SYN-ACCESS-00000049,SYNTHETIC,,,true,,SCN-PHYS-0194,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000049
PHY-00000050,2025-02-23T08:19:08,PER-003580,prox-in-classified,LOC-003093,SYN-ACCESS-00000050,SYNTHETIC,,,true,,SCN-PHYS-0199,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000050
PHY-00000051,2024-02-20T19:39:26,PER-000984,prox-in-classified,LOC-000542,SYN-ACCESS-00000051,SYNTHETIC,,,true,,SCN-MIXED-0055,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000051
PHY-00000052,2025-09-12T02:29:24,PER-003657,prox-out-classified,LOC-001722,SYN-ACCESS-00000052,SYNTHETIC,,,true,,SCN-PHYS-0204,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000052
PHY-00000053,2025-11-14T10:17:09,PER-003742,prox-in-building,LOC-006642,SYN-ACCESS-00000053,SYNTHETIC,,,true,,SCN-PHYS-0209,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000053
PHY-00000054,2024-02-08T13:23:51,PER-003837,prox-in-classified,LOC-005292,SYN-ACCESS-00000054,SYNTHETIC,,,true,,SCN-PHYS-0214,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000054
PHY-00000055,2025-02-02T15:46:49,PER-003948,prox-in-classified,LOC-009041,SYN-ACCESS-00000055,SYNTHETIC,,,true,,SCN-PHYS-0219,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000055
PHY-00000056,2025-09-03T16:28:12,PER-001085,prox-out-classified,LOC-004478,SYN-ACCESS-00000056,SYNTHETIC,,,true,,SCN-MIXED-0060,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000056
PHY-00000057,2025-10-27T14:25:45,PER-004041,prox-in-building,LOC-005019,SYN-ACCESS-00000057,SYNTHETIC,,,true,,SCN-PHYS-0224,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000057
PHY-00000058,2024-09-18T14:29:46,PER-004093,prox-in-classified,LOC-008913,SYN-ACCESS-00000058,SYNTHETIC,,,true,,SCN-PHYS-0229,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000058
PHY-00000059,2024-04-17T06:03:52,PER-004170,prox-in-classified,LOC-000698,SYN-ACCESS-00000059,SYNTHETIC,,,true,,SCN-PHYS-0234,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000059
PHY-00000060,2024-04-06T04:17:51,PER-004251,prox-out-classified,LOC-004188,SYN-ACCESS-00000060,SYNTHETIC,,,true,,SCN-PHYS-0239,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000060
PHY-00000061,2024-04-03T17:20:21,PER-001138,prox-in-classified,LOC-001393,SYN-ACCESS-00000061,SYNTHETIC,,,true,,SCN-MIXED-0065,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000061
PHY-00000062,2024-05-18T15:32:16,PER-004341,prox-out-classified,LOC-003945,SYN-ACCESS-00000062,SYNTHETIC,,,true,,SCN-PHYS-0244,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000062
PHY-00000063,2025-12-16T05:59:53,PER-004429,prox-out-classified,LOC-004218,SYN-ACCESS-00000063,SYNTHETIC,,,true,,SCN-PHYS-0249,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000063
PHY-00000064,2024-06-05T06:12:44,PER-004517,prox-out-classified,LOC-001333,SYN-ACCESS-00000064,SYNTHETIC,,,true,,SCN-PHYS-0254,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000064
PHY-00000065,2025-12-19T05:21:41,PER-004617,prox-out-classified,LOC-001861,SYN-ACCESS-00000065,SYNTHETIC,,,true,,SCN-PHYS-0259,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000065
PHY-00000066,2025-08-04T09:58:49,PER-001189,prox-in-classified,LOC-006582,SYN-ACCESS-00000066,SYNTHETIC,,,true,,SCN-MIXED-0070,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000066
PHY-00000067,2024-06-08T13:19:24,PER-004680,prox-in-classified,LOC-003587,SYN-ACCESS-00000067,SYNTHETIC,,,true,,SCN-PHYS-0264,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000067
PHY-00000068,2024-01-07T21:55:58,PER-004767,prox-in-building,LOC-006154,SYN-ACCESS-00000068,SYNTHETIC,,,true,,SCN-PHYS-0269,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000068
PHY-00000069,2024-08-23T01:04:53,PER-004861,prox-in-classified,LOC-004555,SYN-ACCESS-00000069,SYNTHETIC,,,true,,SCN-PHYS-0274,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000069
PHY-00000070,2025-06-03T15:15:52,PER-004979,prox-in-classified,LOC-006535,SYN-ACCESS-00000070,SYNTHETIC,,,true,,SCN-PHYS-0279,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000070
PHY-00000071,2025-06-17T04:48:11,PER-001283,prox-in-building,LOC-006967,SYN-ACCESS-00000071,SYNTHETIC,,,true,,SCN-MIXED-0075,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000071
