relationship_id,source_entity_type,source_entity_id,relationship_type,target_entity_type,target_entity_id,timestamp,relationship_origin,source_dataset,source_record_reference,reason,Synthetic_Flag,Source_Dataset,Generation_Batch_ID,Confidence_Level,Provenance_Mode,relationship_type_tag,Audit_Reference
REL-0000001,Person,PER-025820,OWNS,Account,ACC-000001,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000001
REL-0000002,Person,PER-022332,OWNS,Account,ACC-000002,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000002
REL-0000003,Person,PER-017045,OWNS,Account,ACC-000003,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000003
REL-0000004,Person,PER-017045,OWNS,Account,ACC-017147,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000004
REL-0000005,Person,PER-017045,OWNS,Account,ACC-029792,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000005
REL-0000006,Person,PER-015867,OWNS,Account,ACC-000004,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000006
REL-0000007,Person,PER-015867,OWNS,Account,ACC-013112,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000007
REL-0000008,Person,PER-026002,OWNS,Account,ACC-000005,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000008
REL-0000009,Person,PER-005514,OWNS,Account,ACC-000007,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000009
REL-0000010,Person,PER-005514,OWNS,Account,ACC-016098,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000010
REL-0000011,Person,PER-011251,OWNS,Account,ACC-000008,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000011
