transaction_id,timestamp,sender_account_id,receiver_account_id,amount,currency,transaction_type,status,anomaly_flag,anomaly_score,ml_pattern_metadata,data_origin,source_dataset,source_record_reference,Synthetic_Flag,Source_Dataset,Generation_Batch_ID,Confidence_Level,Provenance_Mode,Audit_Reference
TXN-00000001,2025-11-21T07:01:02,ACC-017368,ACC-013912,2733.42,INR,withdrawal,pending,true,0.988063,"{""synthetic_pattern"": true, ""pattern_family"": ""mixed""}",SYNTHETIC,,,true,,SCN-MIXED-0005,Medium,synthetic-design,AUDIT-transactions-TXN-00000001
TXN-00000002,2024-12-01T13:47:31,ACC-029253,ACC-002229,1315.0,INR,payment,pending,true,0.927732,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0001,Medium,synthetic-design,AUDIT-transactions-TXN-00000002
TXN-00000003,2025-01-21T23:40:16,ACC-012738,ACC-002109,1988.37,INR,transfer,pending,true,0.883159,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0006,Medium,synthetic-design,AUDIT-transactions-TXN-00000003
TXN-00000004,2024-10-07T02:16:39,ACC-011870,ACC-026488,316.7,INR,withdrawal,completed,true,0.968477,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0011,Medium,synthetic-design,AUDIT-transactions-TXN-00000004
TXN-00000005,2025-02-04T09:25:46,ACC-023549,ACC-012006,4406.33,INR,transfer,pending,true,0.940199,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0016,Medium,synthetic-design,AUDIT-transactions-TXN-00000005
TXN-00000006,2025-01-14T20:17:23,ACC-016728,ACC-018907,1716.6,INR,transfer,completed,true,0.905146,"{""synthetic_pattern"": true, ""pattern_family"": ""mixed""}",SYNTHETIC,,,true,,SCN-MIXED-0010,Medium,synthetic-design,AUDIT-transactions-TXN-00000006
TXN-00000007,2024-03-05T04:54:45,ACC-004729,ACC-013251,295.85,INR,withdrawal,completed,false,0.806745,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0021,Medium,synthetic-design,AUDIT-transactions-TXN-00000007
TXN-00000008,2024-01-14T23:56:14,ACC-011449,ACC-008825,184.57,INR,transfer,completed,true,0.926209,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0026,Medium,synthetic-design,AUDIT-transactions-TXN-00000008
TXN-00000009,2025-03-17T02:43:44,ACC-023311,ACC-009602,2286.76,INR,payment,completed,true,0.873781,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0031,Medium,synthetic-design,AUDIT-transactions-TXN-00000009
TXN-00000010,2024-10-17T09:33:31,ACC-027549,ACC-022471,447.68,INR,payment,completed,true,0.984631,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0036,Medium,synthetic-design,AUDIT-transactions-TXN-00000010
TXN-00000011,2025-09-04T09:04:19,ACC-020202,ACC-006465,527.8,INR,deposit,completed,true,0.915057,"{""synthetic_pattern"": true, ""pattern_family"": ""mixed""}",SYNTHETIC,,,true,,SCN-MIXED-0015,Medium,synthetic-design,AUDIT-transactions-TXN-00000011
TXN-00000012,2025-01-21T15:03:32,ACC-028719,ACC-004842,4081.73,INR,withdrawal,completed,true,0.966271,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0041,Medium,synthetic-design,AUDIT-transactions-TXN-00000012
TXN-00000013,2025-12-09T04:16:47,ACC-018128,ACC-011642,11460.86,INR,deposit,pending,true,0.889419,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0046,Medium,synthetic-design,AUDIT-transactions-TXN-00000013
TXN-00000014,2024-03-14T09:44:55,ACC-020159,ACC-001352,1692.1,INR,payment,completed,true,0.859752,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0051,Medium,synthetic-design,AUDIT-transactions-TXN-00000014
TXN-00000015,2024-05-23T01:16:25,ACC-024505,ACC-010325,3173.71,INR,payment,completed,true,0.969064,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0056,Medium,synthetic-design,AUDIT-transactions-TXN-00000015
TXN-00000016,2025-03-09T13:11:45,ACC-025045,ACC-027388,703.67,INR,deposit,completed,true,0.834657,"{""synthetic_pattern"": true, ""pattern_family"": ""mixed""}",SYNTHETIC,,,true,,SCN-MIXED-0020,Medium,synthetic-design,AUDIT-transactions-TXN-00000016
TXN-00000017,2025-01-06T22:07:37,ACC-005523,ACC-014699,3079.24,INR,deposit,completed,true,0.844197,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0061,Medium,synthetic-design,AUDIT-transactions-TXN-00000017
TXN-00000018,2025-09-22T18:06:51,ACC-008744,ACC-007511,1261.15,INR,transfer,completed,false,0.81934,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0066,Medium,synthetic-design,AUDIT-transactions-TXN-00000018
TXN-00000019,2024-01-18T08:39:14,ACC-017481,ACC-004310,310.91,INR,withdrawal,completed,true,0.864097,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0071,Medium,synthetic-design,AUDIT-transactions-TXN-00000019
TXN-00000020,2025-11-15T15:42:55,ACC-006532,ACC-020999,1629.64,INR,transfer,completed,true,0.975953,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0076,Medium,synthetic-design,AUDIT-transactions-TXN-00000020
